,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,36055427.69,2018-12-13T10:14:57,200000000.0,2018-12-03,TBV,20000000000.0,TBV03122018,716,2326.61,0.0,0.055159,TRMTMEWWWWW5,9032334.0,35820870.66,649416023.0
1,36744585.93,2018-12-14T10:14:56,200000000.0,2018-12-04,TBV,20000000000.0,TBV04122018,720,2605.32,0.0,0.055196,TRMTMEWWWWW5,9057883.0,36508468.58,661431023.0
2,36870067.47,2018-12-15T10:14:55,200000000.0,2018-12-05,TBV,20000000000.0,TBV05122018,726,2210.04,0.0,0.055236,TRMTMEWWWWW5,9082411.0,36631709.72,663186023.0
3,37542018.35,2018-12-16T10:14:54,200000000.0,2018-12-06,TBV,20000000000.0,TBV06122018,732,2847.99,0.0,0.055286,TRMTMEWWWWW5,9090587.0,37303940.07,674749023.0
4,37594771.47,2018-12-17T10:14:59,200000000.0,2018-12-07,TBV,20000000000.0,TBV07122018,744,2064.88,0.0,0.055323,TRMTMEWWWWW5,9098763.0,37407926.07,676176023.0
5,37880162.98,2018-12-20T10:14:57,200000000.0,2018-12-10,TBV,20000000000.0,TBV10122018,745,2457.69,0.0,0.055416,TRMTMEWWWWW5,9170303.0,37688018.55,680097023.0
6,37987284.7,2018-12-21T10:14:56,200000000.0,2018-12-11,TBV,20000000000.0,TBV11122018,744,2437.82,0.0,0.055524,TRMTMEWWWWW5,9194831.0,37793217.92,680670023.0
7,38044539.67,2018-12-22T10:14:55,200000000.0,2018-12-12,TBV,20000000000.0,TBV12122018,748,2778.47,0.0,0.055559,TRMTMEWWWWW5,9219359.0,37848908.3,681233023.0
8,38997835.16,2018-12-23T10:14:54,200000000.0,2018-12-13,TBV,20000000000.0,TBV13122018,748,2063.7,0.0,0.055596,TRMTMEWWWWW5,9227535.0,38799536.78,697884023.0
9,39119433.38,2018-12-24T10:14:53,200000000.0,2018-12-14,TBV,20000000000.0,TBV14122018,749,2168.04,1500963.7,0.055633,TRMTMEWWWWW5,9235712.0,38919248.1,699571023.0
10,39198449.37,2018-12-27T10:14:57,200000000.0,2018-12-17,TBV,20000000000.0,TBV17122018,749,2142.48,0.0,0.055745,TRMTMEWWWWW5,9307251.0,38992386.26,699481023.0
11,39429098.28,2018-12-28T10:14:59,200000000.0,2018-12-18,TBV,20000000000.0,TBV18122018,752,2261.27,0.0,0.055782,TRMTMEWWWWW5,9332698.0,39221180.86,703116023.0
12,41098682.31,2018-12-29T10:14:58,200000000.0,2018-12-19,TBV,20000000000.0,TBV19122018,755,2282.15,0.0,0.055747,TRMTMEWWWWW5,9357226.0,40888730.23,733464023.0
13,41002325.18,2018-12-30T10:14:58,200000000.0,2018-12-20,TBV,20000000000.0,TBV20122018,753,2694.87,0.0,0.05572,TRMTMEWWWWW5,9365401.0,40790735.11,732071023.0
14,40673621.02,2018-12-31T10:15:00,200000000.0,2018-12-21,TBV,20000000000.0,TBV21122018,752,2250.4,0.0,0.055756,TRMTMEWWWWW5,9373577.0,40459552.15,725655023.0
15,39091228.17,2019-01-03T10:14:57,200000000.0,2018-12-24,TBV,20000000000.0,TBV24122018,748,2486.33,0.0,0.055732,TRMTMEWWWWW5,9425699.0,39838645.04,714821023.0
16,39291651.22,2019-01-04T10:14:57,200000000.0,2018-12-25,TBV,20000000000.0,TBV25122018,746,2401.84,0.0,0.055735,TRMTMEWWWWW5,9450227.0,39069761.4,700992023.0
17,39289105.86,2019-01-05T10:14:56,200000000.0,2018-12-26,TBV,20000000000.0,TBV26122018,744,2310.42,0.0,0.055793,TRMTMEWWWWW5,9473733.0,39065159.21,700176023.0
18,39461091.8,2019-01-06T10:14:55,200000000.0,2018-12-27,TBV,20000000000.0,TBV27122018,742,2748.73,0.0,0.05575,TRMTMEWWWWW5,9480887.0,39235609.62,703781023.0
19,37327935.59,2019-01-07T10:15:00,200000000.0,2018-12-28,TBV,20000000000.0,TBV28122018,742,1878.11,0.0,0.055787,TRMTMEWWWWW5,9488042.0,39016883.71,699389023.0
20,36664273.47,2019-01-10T10:14:57,200000000.0,2018-12-31,TBV,20000000000.0,TBV31122018,739,7572.33,250481.85,0.056269,TRMTMEWWWWW5,9556516.0,36915980.14,656058023.0
21,36476875.09,2019-01-12T10:14:58,200000000.0,2019-01-02,TBV,20000000000.0,TBV02012019,736,2462.81,0.0,0.056262,TRMTMEWWWWW5,9604446.0,36238090.44,644100023.0
22,36479775.06,2019-01-13T10:14:57,200000000.0,2019-01-03,TBV,20000000000.0,TBV03012019,736,2992.82,0.0,0.056298,TRMTMEWWWWW5,9612622.0,36239729.41,643713023.0
23,36486497.61,2019-01-14T10:14:59,200000000.0,2019-01-04,TBV,20000000000.0,TBV04012019,737,2100.41,0.0,0.056324,TRMTMEWWWWW5,9620798.0,36243767.37,643489023.0
24,36217899.41,2019-01-17T10:14:57,200000000.0,2019-01-07,TBV,20000000000.0,TBV07012019,737,2291.42,0.0,0.056406,TRMTMEWWWWW5,9692338.0,35970024.22,637696023.0
25,36167257.05,2019-01-18T10:14:56,200000000.0,2019-01-08,TBV,20000000000.0,TBV08012019,734,2333.75,0.0,0.056434,TRMTMEWWWWW5,9717888.0,35972862.93,637437023.0
26,36155881.43,2019-01-19T10:14:55,200000000.0,2019-01-09,TBV,20000000000.0,TBV09012019,733,2376.32,0.0,0.056461,TRMTMEWWWWW5,9742416.0,35959690.49,636898023.0
27,36821233.39,2019-01-20T10:14:54,200000000.0,2019-01-10,TBV,20000000000.0,TBV10012019,740,2154.79,0.0,0.056488,TRMTMEWWWWW5,9750593.0,36622948.75,648332023.0
28,36077374.09,2019-01-21T10:14:59,200000000.0,2019-01-11,TBV,20000000000.0,TBV11012019,734,2932.08,0.0,0.056514,TRMTMEWWWWW5,9758769.0,35878031.39,634856023.0
29,35945499.7,2019-01-24T10:14:57,200000000.0,2019-01-14,TBV,20000000000.0,TBV14012019,731,2765.74,0.0,0.056596,TRMTMEWWWWW5,9830309.0,35740504.99,631507023.0
30,35722542.5,2019-01-25T10:14:56,200000000.0,2019-01-15,TBV,20000000000.0,TBV15012019,732,2679.64,120078.08,0.056622,TRMTMEWWWWW5,9855859.0,35754058.47,631450023.0
31,35302937.85,2019-01-26T10:14:55,200000000.0,2019-01-16,TBV,20000000000.0,TBV16012019,730,2832.72,0.0,0.05666,TRMTMEWWWWW5,9880387.0,35289957.52,622832023.0
32,35192929.5,2019-01-27T10:14:57,200000000.0,2019-01-17,TBV,20000000000.0,TBV17012019,727,2537.44,0.0,0.056688,TRMTMEWWWWW5,9888460.0,34984092.33,617137023.0
33,35453404.45,2019-01-28T10:14:59,200000000.0,2019-01-18,TBV,20000000000.0,TBV18012019,728,2543.27,0.0,0.056715,TRMTMEWWWWW5,9896636.0,35242769.16,621406023.0
34,35530996.54,2019-01-31T10:14:57,200000000.0,2019-01-21,TBV,20000000000.0,TBV21012019,730,2418.23,0.0,0.056791,TRMTMEWWWWW5,9968176.0,35314813.63,621836023.0
35,35501167.16,2019-02-01T10:14:56,200000000.0,2019-01-22,TBV,20000000000.0,TBV22012019,727,2320.07,460302.47,0.056818,TRMTMEWWWWW5,9993726.0,35283069.99,620989023.0
36,35487187.5,2019-02-02T10:14:55,200000000.0,2019-01-23,TBV,20000000000.0,TBV23012019,722,2631.92,440287.51,0.0569,TRMTMEWWWWW5,10018254.0,35267597.43,619812023.0
37,35212106.01,2019-02-03T10:14:54,200000000.0,2019-01-24,TBV,20000000000.0,TBV24012019,719,2566.63,0.0,0.056864,TRMTMEWWWWW5,10026432.0,34990668.84,615342023.0
38,35349403.98,2019-02-04T10:15:00,200000000.0,2019-01-25,TBV,20000000000.0,TBV25012019,718,2468.61,0.0,0.056939,TRMTMEWWWWW5,10034608.0,35126070.58,616910023.0
39,35358722.7,2019-02-07T10:14:57,200000000.0,2019-01-28,TBV,20000000000.0,TBV28012019,719,2873.45,0.0,0.057022,TRMTMEWWWWW5,10106148.0,35130398.85,616086023.0
40,35401938.18,2019-02-08T10:14:56,200000000.0,2019-01-29,TBV,20000000000.0,TBV29012019,720,2405.5,0.0,0.057048,TRMTMEWWWWW5,10131698.0,35171345.93,616523023.0
41,35156859.66,2019-02-09T10:14:55,200000000.0,2019-01-30,TBV,20000000000.0,TBV30012019,722,2039.19,0.0,0.057065,TRMTMEWWWWW5,10156228.0,35176596.71,616425023.0
42,34991965.12,2019-02-10T10:14:54,200000000.0,2019-01-31,TBV,20000000000.0,TBV31012019,720,2638.68,0.0,0.057117,TRMTMEWWWWW5,10164402.0,34758025.66,608539023.0
43,35017925.05,2019-02-11T10:14:53,200000000.0,2019-02-01,TBV,20000000000.0,TBV01022019,719,2692.74,0.0,0.057175,TRMTMEWWWWW5,10172578.0,34782258.42,608347023.0
44,35079010.96,2019-02-14T10:14:58,200000000.0,2019-02-04,TBV,20000000000.0,TBV04022019,716,2055.99,0.0,0.057249,TRMTMEWWWWW5,10244117.0,34837355.7,608528023.0
45,35090086.39,2019-02-15T10:14:57,200000000.0,2019-02-05,TBV,20000000000.0,TBV05022019,713,2278.52,0.0,0.057274,TRMTMEWWWWW5,10269667.0,34846869.23,608426023.0
46,33998810.49,2019-02-16T10:14:56,200000000.0,2019-02-06,TBV,20000000000.0,TBV06022019,712,2217.07,0.0,0.0573,TRMTMEWWWWW5,10294195.0,34823807.63,607747023.0
47,34539552.76,2019-02-17T10:15:00,200000000.0,2019-02-07,TBV,20000000000.0,TBV07022019,712,2563.95,0.0,0.057358,TRMTMEWWWWW5,10302268.0,34347542.3,598824023.0
48,34557747.69,2019-02-18T10:14:58,200000000.0,2019-02-08,TBV,20000000000.0,TBV08022019,711,2393.24,0.0,0.057385,TRMTMEWWWWW5,10310444.0,34363806.04,598832023.0
49,34596356.95,2019-02-21T10:14:57,200000000.0,2019-02-11,TBV,20000000000.0,TBV11022019,710,2593.32,0.0,0.057469,TRMTMEWWWWW5,10381987.0,34397328.94,598533023.0
50,34333649.93,2019-02-22T10:14:56,200000000.0,2019-02-12,TBV,20000000000.0,TBV12022019,712,2984.29,0.0,0.057498,TRMTMEWWWWW5,10407536.0,34133263.8,593644023.0
51,34325838.24,2019-02-23T10:14:55,200000000.0,2019-02-13,TBV,20000000000.0,TBV13022019,712,2162.1,0.0,0.057523,TRMTMEWWWWW5,10432063.0,34122881.34,593199023.0
52,34188223.04,2019-02-24T10:14:54,200000000.0,2019-02-14,TBV,20000000000.0,TBV14022019,710,1896.6,0.0,0.057555,TRMTMEWWWWW5,10440239.0,33983258.96,590447023.0
53,34196021.33,2019-02-25T10:14:59,200000000.0,2019-02-15,TBV,20000000000.0,TBV15022019,709,2718.61,0.0,0.057583,TRMTMEWWWWW5,10448415.0,33990137.23,590278023.0
54,34332251.8,2019-02-28T10:14:57,200000000.0,2019-02-18,TBV,20000000000.0,TBV18022019,710,2672.11,1001903.72,0.057668,TRMTMEWWWWW5,10519955.0,34122162.56,591699023.0
55,34352740.66,2019-03-01T10:14:55,200000000.0,2019-02-19,TBV,20000000000.0,TBV19022019,709,2533.16,1002598.45,0.057689,TRMTMEWWWWW5,10545505.0,34140790.22,591804023.0
56,34281435.73,2019-03-02T10:14:55,200000000.0,2019-02-20,TBV,20000000000.0,TBV20022019,708,2692.36,1003232.86,0.057717,TRMTMEWWWWW5,10570035.0,34067925.84,590257023.0
57,34118309.98,2019-03-03T10:14:53,200000000.0,2019-02-21,TBV,20000000000.0,TBV21022019,706,2302.23,1003854.01,0.057745,TRMTMEWWWWW5,10578211.0,33902699.48,587108023.0
58,34168450.57,2019-03-04T10:14:52,200000000.0,2019-02-22,TBV,20000000000.0,TBV22022019,707,2708.51,1004503.56,0.057774,TRMTMEWWWWW5,10586371.0,33951533.45,587664023.0
59,34271860.57,2019-03-07T10:14:48,200000000.0,2019-02-25,TBV,20000000000.0,TBV25022019,710,2475.68,1006410.96,0.057775,TRMTMEWWWWW5,10657911.0,34049557.35,589343023.0
60,34219182.62,2019-03-08T10:15:00,200000000.0,2019-02-26,TBV,20000000000.0,TBV26022019,707,2611.54,1000611.29,0.05775,TRMTMEWWWWW5,10658933.0,33995306.07,588659023.0
61,34200166.45,2019-03-08T14:39:42,200000000.0,2019-02-27,TBV,20000000000.0,TBV27022019,705,2780.02,1001255.1,0.057753,TRMTMEWWWWW5,10659955.0,33974744.32,588279023.0
62,32399772.38,2019-03-08T14:40:51,200000000.0,2019-02-28,TBV,20000000000.0,TBV28022019,695,2492.98,1001873.2,0.05783,TRMTMEWWWWW5,10660977.0,32172438.25,556326023.0
63,32451590.37,2019-03-08T14:41:57,200000000.0,2019-03-01,TBV,20000000000.0,TBV01032019,696,2753.23,1002486.59,0.057909,TRMTMEWWWWW5,10661999.0,32222889.03,556442023.0
64,32524622.25,2019-03-07T10:15:10,200000000.0,2019-03-04,TBV,20000000000.0,TBV04032019,694,2439.62,1004375.37,0.058009,TRMTMEWWWWW5,10663021.0,32290714.85,556653023.0
65,32298071.38,2019-03-07T10:15:14,200000000.0,2019-03-05,TBV,20000000000.0,TBV05032019,691,2530.52,1005008.22,0.058035,TRMTMEWWWWW5,10664044.0,32062611.73,552466023.0
66,32311227.98,2019-03-07T10:15:18,200000000.0,2019-03-06,TBV,20000000000.0,TBV06032019,689,2188.25,0.0,0.058072,TRMTMEWWWWW5,10665066.0,32075187.0,552332023.0
67,32315350.99,2019-03-07T13:50:07,200000000.0,2019-03-07,TBV,20000000000.0,TBV07032019,688,2439.32,0.0,0.058105,TRMTMEWWWWW5,10667110.0,32123767.43,552860023.0
68,31470629.52,2019-03-08T10:50:00,200000000.0,2019-03-08,TBV,20000000000.0,TBV08032019,688,2712.08,0.0,0.058151,TRMTMEWWWWW5,10668132.0,31277714.44,537867023.0
69,31429364.22,2019-03-11T10:50:00,200000000.0,2019-03-11,TBV,20000000000.0,TBV11032019,688,2721.01,0.0,0.057938,TRMTMEWWWWW5,10668975.0,31056677.25,536033023.0
70,30744692.91,2019-03-12T10:22:47,200000000.0,2019-03-12,TBV,20000000000.0,TBV12032019,688,2261.63,0.0,0.057963,TRMTMEWWWWW5,10670622.0,31069953.3,536033023.0
71,30733561.59,2019-03-13T10:50:00,200000000.0,2019-03-13,TBV,20000000000.0,TBV13032019,687,2062.86,0.0,0.057996,TRMTMEWWWWW5,10674320.0,31057030.58,535504023.0
72,30720909.65,2019-03-14T10:50:00,200000000.0,2019-03-14,TBV,20000000000.0,TBV14032019,685,2593.59,0.0,0.05803,TRMTMEWWWWW5,10677097.0,31043317.42,534949023.0
73,30631733.9,2019-03-15T10:50:00,200000000.0,2019-03-15,TBV,20000000000.0,TBV15032019,681,2510.51,0.0,0.058065,TRMTMEWWWWW5,10679833.0,30952471.13,533068023.0
74,31172399.36,2019-03-18T10:30:32,200000000.0,2019-03-18,TBV,20000000000.0,TBV18032019,677,2790.55,0.0,0.058051,TRMTMEWWWWW5,10680902.0,30791908.25,530426023.0
75,30519887.3,2019-03-19T10:50:00,200000000.0,2019-03-19,TBV,20000000000.0,TBV19032019,678,2837.78,500308.73,0.058095,TRMTMEWWWWW5,10684684.0,30823020.96,530566023.0
