,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,4930468.83,2018-12-13T10:14:57,4000000.0,2018-12-03,DPK,400000000.0,DPK03122018,152,289033.18,0.0,1.263991,TRYDNZP00058,9032097.0,5207145.27,4119606.0
1,4828148.87,2018-12-14T10:14:56,4000000.0,2018-12-04,DPK,400000000.0,DPK04122018,153,449492.75,0.0,1.264861,TRYDNZP00058,9057647.0,5265087.96,4162581.0
2,5459585.22,2018-12-15T10:14:55,4000000.0,2018-12-05,DPK,400000000.0,DPK05122018,156,1372093.57,0.0,1.265325,TRYDNZP00058,9082175.0,6818880.5,5389035.0
3,5664161.43,2018-12-16T10:14:54,4000000.0,2018-12-06,DPK,400000000.0,DPK06122018,156,840167.73,0.0,1.266152,TRYDNZP00058,9090351.0,6491299.07,5126791.0
4,5666573.77,2018-12-17T10:14:59,4000000.0,2018-12-07,DPK,400000000.0,DPK07122018,156,836118.52,0.0,1.266578,TRYDNZP00058,9098527.0,6494478.51,5127580.0
5,5677216.97,2018-12-20T10:14:57,4000000.0,2018-12-10,DPK,400000000.0,DPK10122018,158,920555.87,0.0,1.268476,TRYDNZP00058,9170067.0,6588854.82,5194307.0
6,5677821.75,2018-12-21T10:14:56,4000000.0,2018-12-11,DPK,400000000.0,DPK11122018,159,923055.07,0.0,1.268547,TRYDNZP00058,9194595.0,6592000.18,5196495.0
7,5419754.78,2018-12-22T10:14:55,4000000.0,2018-12-12,DPK,400000000.0,DPK12122018,159,792683.99,0.0,1.269456,TRYDNZP00058,9219123.0,6203339.4,4886613.0
8,5993104.85,2018-12-23T10:14:54,4000000.0,2018-12-13,DPK,400000000.0,DPK13122018,160,1220236.84,0.0,1.27006,TRYDNZP00058,9227299.0,7203988.58,5672164.0
9,6622636.96,2018-12-24T10:14:53,4000000.0,2018-12-14,DPK,400000000.0,DPK14122018,161,10570.24,0.0,1.27123,TRYDNZP00058,9235476.0,6623616.67,5210401.0
10,6405923.56,2018-12-27T10:14:57,4000000.0,2018-12-17,DPK,400000000.0,DPK17122018,161,38874.53,0.0,1.273423,TRYDNZP00058,9307015.0,6434513.44,5052928.0
11,6410030.5,2018-12-28T10:14:59,4000000.0,2018-12-18,DPK,400000000.0,DPK18122018,159,39616.94,0.0,1.27419,TRYDNZP00058,9332461.0,6439131.28,5053511.0
12,6413991.35,2018-12-29T10:14:58,4000000.0,2018-12-19,DPK,400000000.0,DPK19122018,157,139602.62,0.0,1.274916,TRYDNZP00058,9356989.0,6542843.17,5131981.0
13,6418570.73,2018-12-30T10:14:58,4000000.0,2018-12-20,DPK,400000000.0,DPK20122018,158,294753.51,0.0,1.275742,TRYDNZP00058,9365165.0,6702334.01,5253676.0
14,6424000.39,2018-12-31T10:15:00,4000000.0,2018-12-21,DPK,400000000.0,DPK21122018,160,294766.27,0.0,1.27673,TRYDNZP00058,9373341.0,6707536.83,5253686.0
15,6634923.67,2019-01-03T10:14:57,4000000.0,2018-12-24,DPK,400000000.0,DPK24122018,160,94766.27,0.0,1.278672,TRYDNZP00058,9425463.0,6717739.31,5253686.0
16,6640366.0,2019-01-04T10:14:57,4000000.0,2018-12-25,DPK,400000000.0,DPK25122018,159,91076.02,0.0,1.279662,TRYDNZP00058,9449991.0,6719251.07,5250800.0
17,6644191.53,2019-01-05T10:14:56,4000000.0,2018-12-26,DPK,400000000.0,DPK26122018,157,18744.4,0.0,1.280353,TRYDNZP00058,9473497.0,6650506.71,5194276.0
18,6635200.44,2019-01-06T10:14:55,4000000.0,2018-12-27,DPK,400000000.0,DPK27122018,156,9236.54,0.0,1.280779,TRYDNZP00058,9480651.0,6631770.08,5177919.0
19,6640250.26,2019-01-07T10:15:00,4000000.0,2018-12-28,DPK,400000000.0,DPK28122018,156,30930.37,0.0,1.281705,TRYDNZP00058,9487805.0,6658275.24,5194857.0
20,6652150.05,2019-01-10T10:14:57,4000000.0,2018-12-31,DPK,400000000.0,DPK31122018,156,31926.26,0.0,1.283858,TRYDNZP00058,9556279.0,6670454.29,5195634.0
21,6659956.24,2019-01-12T10:14:58,4000000.0,2019-01-02,DPK,400000000.0,DPK02012019,156,99923.24,0.0,1.285194,TRYDNZP00058,9604210.0,6745462.75,5248597.0
22,6664980.01,2019-01-13T10:14:57,4000000.0,2019-01-03,DPK,400000000.0,DPK03012019,158,115398.25,0.0,1.286105,TRYDNZP00058,9612386.0,6765731.53,5260638.0
23,6670389.93,2019-01-14T10:14:59,4000000.0,2019-01-04,DPK,400000000.0,DPK04012019,161,245453.04,0.0,1.28707,TRYDNZP00058,9620562.0,6900962.17,5361761.0
24,6682682.94,2019-01-17T10:14:57,4000000.0,2019-01-07,DPK,400000000.0,DPK07012019,161,194084.79,0.0,1.289249,TRYDNZP00058,9692102.0,6861188.23,5321850.0
25,6686802.04,2019-01-18T10:14:56,4000000.0,2019-01-08,DPK,400000000.0,DPK08012019,161,199277.93,0.0,1.289978,TRYDNZP00058,9717652.0,6875988.76,5330316.0
26,6688053.98,2019-01-19T10:14:55,4000000.0,2019-01-09,DPK,400000000.0,DPK09012019,160,194247.95,0.0,1.290169,TRYDNZP00058,9742180.0,6872288.72,5326658.0
27,6686561.04,2019-01-20T10:14:54,4000000.0,2019-01-10,DPK,400000000.0,DPK10012019,160,249039.06,0.0,1.289809,TRYDNZP00058,9750356.0,6925352.06,5369287.0
28,6710140.92,2019-01-21T10:14:59,4000000.0,2019-01-11,DPK,400000000.0,DPK11012019,161,72834.39,0.0,1.291223,TRYDNZP00058,9758532.0,6772496.99,5245026.0
29,6577480.57,2019-01-24T10:14:57,4000000.0,2019-01-14,DPK,400000000.0,DPK14012019,161,218209.72,0.0,1.293515,TRYDNZP00058,9830072.0,6784520.71,5245026.0
30,6790246.74,2019-01-25T10:14:56,4000000.0,2019-01-15,DPK,400000000.0,DPK15012019,162,126364.37,0.0,1.294402,TRYDNZP00058,9855622.0,6905207.12,5334671.0
31,6794619.52,2019-01-26T10:14:55,4000000.0,2019-01-16,DPK,400000000.0,DPK16012019,160,243944.53,0.0,1.295164,TRYDNZP00058,9880150.0,7027259.25,5425769.0
32,6224412.93,2019-01-27T10:14:57,4000000.0,2019-01-17,DPK,400000000.0,DPK17012019,158,3378.32,0.0,1.296259,TRYDNZP00058,9888223.0,6216273.69,4795548.0
33,6228317.93,2019-01-28T10:14:59,4000000.0,2019-01-18,DPK,400000000.0,DPK18012019,159,6094.03,0.0,1.297029,TRYDNZP00058,9896399.0,6222681.44,4797643.0
34,7024887.84,2019-01-31T10:14:57,4000000.0,2019-01-21,DPK,400000000.0,DPK21012019,163,223763.98,0.0,1.299097,TRYDNZP00058,9967939.0,7236187.07,5570168.0
35,7029140.7,2019-02-01T10:14:56,4000000.0,2019-01-22,DPK,400000000.0,DPK22012019,163,217754.36,0.0,1.299817,TRYDNZP00058,9993489.0,7234185.62,5565542.0
36,7033787.32,2019-02-02T10:14:55,4000000.0,2019-01-23,DPK,400000000.0,DPK23012019,168,268692.89,0.0,1.300602,TRYDNZP00058,10018017.0,7289524.41,5604731.0
37,7275391.09,2019-02-03T10:14:54,4000000.0,2019-01-24,DPK,400000000.0,DPK24012019,169,9771.07,0.0,1.301315,TRYDNZP00058,10026193.0,7271960.11,5588161.0
38,7279616.44,2019-02-04T10:15:00,4000000.0,2019-01-25,DPK,400000000.0,DPK25012019,167,8830.22,0.0,1.302028,TRYDNZP00058,10034369.0,7274998.27,5587438.0
39,7239514.2,2019-02-07T10:14:57,4000000.0,2019-01-28,DPK,400000000.0,DPK28012019,167,6825.52,0.0,1.304228,TRYDNZP00058,10105909.0,7232156.36,5545163.0
40,7226522.21,2019-02-08T10:14:56,4000000.0,2019-01-29,DPK,400000000.0,DPK29012019,166,5619.11,0.0,1.30184,TRYDNZP00058,10131459.0,7217713.43,5544238.0
41,7230696.07,2019-02-09T10:14:55,4000000.0,2019-01-30,DPK,400000000.0,DPK30012019,168,6518.68,0.0,1.302549,TRYDNZP00058,10155987.0,7222542.17,5544929.0
42,7234533.34,2019-02-10T10:14:54,4000000.0,2019-01-31,DPK,400000000.0,DPK31012019,168,6518.68,0.0,1.303197,TRYDNZP00058,10164163.0,7226134.64,5544929.0
43,7188998.85,2019-02-11T10:14:53,4000000.0,2019-02-01,DPK,400000000.0,DPK01022019,168,5847.81,0.0,1.304397,TRYDNZP00058,10172339.0,7179685.95,5504219.0
44,6939987.93,2019-02-14T10:14:58,4000000.0,2019-02-04,DPK,400000000.0,DPK04022019,169,15512.7,0.0,1.306712,TRYDNZP00058,10243879.0,6939632.82,5310760.0
45,6944158.92,2019-02-15T10:14:57,4000000.0,2019-02-05,DPK,400000000.0,DPK05022019,169,15209.54,0.0,1.307453,TRYDNZP00058,10269429.0,6943264.83,5310528.0
46,8212964.6,2019-02-16T10:14:56,4000000.0,2019-02-06,DPK,400000000.0,DPK06022019,171,233727.04,0.0,1.308139,TRYDNZP00058,10293957.0,8430305.39,6444503.0
47,8217767.59,2019-02-17T10:15:00,4000000.0,2019-02-07,DPK,400000000.0,DPK07022019,172,317248.99,0.0,1.308825,TRYDNZP00058,10302030.0,8529277.83,6516742.0
48,8485472.59,2019-02-18T10:14:58,4000000.0,2019-02-08,DPK,400000000.0,DPK08022019,173,57374.56,0.0,1.309523,TRYDNZP00058,10310206.0,8536822.12,6519033.0
49,8500439.71,2019-02-21T10:14:57,4000000.0,2019-02-11,DPK,400000000.0,DPK11022019,173,56870.39,0.0,1.311687,TRYDNZP00058,10381746.0,8550424.92,6518648.0
50,8505280.77,2019-02-22T10:14:56,4000000.0,2019-02-12,DPK,400000000.0,DPK12022019,173,59868.91,0.0,1.312385,TRYDNZP00058,10407296.0,8557977.55,6520934.0
51,8510320.92,2019-02-23T10:14:55,4000000.0,2019-02-13,DPK,400000000.0,DPK13022019,173,4614.27,0.0,1.313084,TRYDNZP00058,10431823.0,8507477.62,6479003.0
52,8255854.91,2019-02-24T10:14:54,4000000.0,2019-02-14,DPK,400000000.0,DPK14022019,176,265921.3,0.0,1.313779,TRYDNZP00058,10439999.0,8514033.44,6480565.0
53,8260618.52,2019-02-25T10:14:59,4000000.0,2019-02-15,DPK,400000000.0,DPK15022019,176,147857.24,0.0,1.314481,TRYDNZP00058,10448175.0,8400451.19,6390699.0
54,8364773.37,2019-02-28T10:14:57,4000000.0,2019-02-18,DPK,400000000.0,DPK18022019,177,57797.95,0.0,1.31653,TRYDNZP00058,10519715.0,8413701.48,6390815.0
55,8369635.82,2019-03-01T10:14:55,4000000.0,2019-02-19,DPK,400000000.0,DPK19022019,176,22721.64,0.0,1.31725,TRYDNZP00058,10545265.0,8383206.76,6364172.0
56,9274535.69,2019-03-02T10:14:55,4000000.0,2019-02-20,DPK,400000000.0,DPK20022019,177,72022.88,0.0,1.317773,TRYDNZP00058,10569793.0,9337096.84,7085513.0
57,9280725.14,2019-03-03T10:14:53,4000000.0,2019-02-21,DPK,400000000.0,DPK21022019,175,42569.34,0.0,1.318605,TRYDNZP00058,10577969.0,9313522.41,7063162.0
58,9285498.24,2019-03-04T10:14:52,4000000.0,2019-02-22,DPK,400000000.0,DPK22022019,175,42569.33,0.0,1.319237,TRYDNZP00058,10586144.0,9317985.02,7063162.0
59,9338185.21,2019-03-07T10:14:48,4000000.0,2019-02-25,DPK,400000000.0,DPK25022019,175,4463.36,0.0,1.321169,TRYDNZP00058,10657684.0,9331633.09,7063162.0
60,10249303.67,2019-03-08T10:15:00,4000000.0,2019-02-26,DPK,400000000.0,DPK26022019,177,65285.05,0.0,1.321854,TRYDNZP00058,10658706.0,10303231.54,7794531.0
61,10254337.92,2019-03-07T10:14:59,4000000.0,2019-02-27,DPK,400000000.0,DPK27022019,177,89258.19,0.0,1.322454,TRYDNZP00058,10659728.0,10331896.36,7812667.0
62,10260095.32,2019-03-07T10:15:03,4000000.0,2019-02-28,DPK,400000000.0,DPK28022019,178,97257.71,0.0,1.323147,TRYDNZP00058,10660750.0,10345310.3,7818716.0
63,10421722.76,2019-03-07T10:15:06,4000000.0,2019-03-01,DPK,400000000.0,DPK01032019,178,54251.07,0.0,1.323998,TRYDNZP00058,10661772.0,10463584.29,7903022.0
64,9804718.32,2019-03-07T10:15:10,4000000.0,2019-03-04,DPK,400000000.0,DPK04032019,177,12070.64,0.0,1.326111,TRYDNZP00058,10662794.0,9804998.84,7393800.0
65,9810256.05,2019-03-07T10:15:14,4000000.0,2019-03-05,DPK,400000000.0,DPK05032019,176,8858.8,0.0,1.326815,TRYDNZP00058,10663816.0,9806993.06,7391378.0
66,9703443.41,2019-03-07T10:15:18,4000000.0,2019-03-06,DPK,400000000.0,DPK06032019,175,7517.15,0.0,1.32751,TRYDNZP00058,10664838.0,9698510.53,7305793.0
67,9459413.8,2019-03-07T13:50:07,4000000.0,2019-03-07,DPK,400000000.0,DPK07032019,174,49545.88,0.0,1.328211,TRYDNZP00058,10666882.0,9503505.34,7155116.0
68,9438914.53,2019-03-08T10:50:00,4000000.0,2019-03-08,DPK,400000000.0,DPK08032019,174,74124.18,0.0,1.328795,TRYDNZP00058,10667904.0,9507680.42,7155116.0
69,9302557.55,2019-03-11T10:50:00,4000000.0,2019-03-11,DPK,400000000.0,DPK11032019,174,25891.81,0.0,1.330869,TRYDNZP00058,10668747.0,9322142.32,7004555.0
70,9307807.12,2019-03-12T10:22:47,4000000.0,2019-03-12,DPK,400000000.0,DPK12032019,174,25672.07,0.0,1.331542,TRYDNZP00058,10670394.0,9326855.74,7004555.0
71,9314862.28,2019-03-13T10:50:00,4000000.0,2019-03-13,DPK,400000000.0,DPK13032019,175,153250.98,0.0,1.332149,TRYDNZP00058,10672919.0,9461169.36,7102188.0
72,9320691.14,2019-03-14T10:50:00,4000000.0,2019-03-14,DPK,400000000.0,DPK14032019,174,53334.47,0.0,1.332933,TRYDNZP00058,10675623.0,9366764.09,7027184.0
73,9325784.27,2019-03-15T10:50:00,4000000.0,2019-03-15,DPK,400000000.0,DPK15032019,175,256930.63,0.0,1.333584,TRYDNZP00058,10678358.0,9575129.5,7179999.0
74,9379654.59,2019-03-18T10:30:32,4000000.0,2019-03-18,DPK,400000000.0,DPK18032019,176,50384.74,0.0,1.335399,TRYDNZP00058,10680671.0,9421495.84,7055190.0
75,9385627.09,2019-03-19T10:50:00,4000000.0,2019-03-19,DPK,400000000.0,DPK19032019,176,21910.02,0.0,1.336203,TRYDNZP00058,10683346.0,9398674.93,7033867.0
76,9177525.44,2019-03-20T10:24:48,4000000.0,2019-03-20,DPK,400000000.0,DPK20032019,175,11442.83,0.0,1.336912,TRYDNZP00058,10685967.0,9179794.33,6866414.0
77,9182783.27,2019-03-21T10:50:00,4000000.0,2019-03-21,DPK,400000000.0,DPK20032019,175,288338.69,0.0,1.33761,TRYDNZP00058,10689518.0,9461627.79,7073530.0
78,9187909.53,2019-03-22T09:50:00,4000000.0,2019-03-22,DPK,400000000.0,DPK21032019,178,371546.05,0.0,1.338284,TRYDNZP00058,10691458.0,9549638.53,7135736.0
79,9523169.97,2019-03-25T09:50:00,4000000.0,2019-03-25,DPK,400000000.0,DPK24032019,180,160566.31,0.0,1.340294,TRYDNZP00058,10694744.0,9672937.77,7217025.0
80,9616264.39,2019-03-26T09:50:00,4000000.0,2019-03-26,DPK,400000000.0,DPK25032019,179,69960.53,0.0,1.340886,TRYDNZP00058,11876980.0,9675099.03,7215454.0
81,9602640.79,2019-03-27T09:50:00,4000000.0,2019-03-27,DPK,400000000.0,DPK26032019,180,93474.26,0.0,1.341504,TRYDNZP00058,11880983.0,9684661.52,7219256.0
82,9690578.02,2019-03-28T09:50:00,4000000.0,2019-03-28,DPK,400000000.0,DPK27032019,180,101453.93,0.0,1.341174,TRYDNZP00058,11882250.0,9780247.75,7292303.0
83,9332774.76,2019-03-29T10:50:01,4000000.0,2019-03-29,DPK,400000000.0,DPK28032019,180,33494.1,0.0,1.341683,TRYDNZP00058,11885012.0,9354167.39,6971963.0
84,9347715.88,2019-04-01T09:50:00,4000000.0,2019-04-01,DPK,400000000.0,DPK01042019,179,107269.22,0.0,1.343606,TRYDNZP00058,11889081.0,9441451.8,7026950.0
85,8919994.27,2019-04-02T09:50:00,4000000.0,2019-04-02,DPK,400000000.0,DPK02042019,179,43730.85,0.0,1.344981,TRYDNZP00058,11890951.0,8949887.39,6654283.0
86,8812529.84,2019-04-03T09:50:00,4000000.0,2019-04-03,DPK,400000000.0,DPK03042019,177,14434.63,0.0,1.345763,TRYDNZP00058,11891724.0,8812826.62,6548573.0
87,8816879.81,2019-04-04T09:50:00,4000000.0,2019-04-04,DPK,400000000.0,DPK04042019,177,7145.98,0.0,1.346382,TRYDNZP00058,11892499.0,8809587.9,6543157.0
88,8757902.06,2019-04-05T10:50:00,4000000.0,2019-04-05,DPK,400000000.0,DPK05042019,177,58841.14,0.0,1.347064,TRYDNZP00058,11893275.0,8811370.57,6541165.0
89,8874559.88,2019-04-08T10:50:00,4000000.0,2019-04-08,DPK,400000000.0,DPK08042019,178,151686.55,0.0,1.349097,TRYDNZP00058,11894052.0,9019954.46,6685919.0
90,8877676.44,2019-04-09T09:50:00,4000000.0,2019-04-09,DPK,400000000.0,DPK09042019,178,101417.85,0.0,1.34952,TRYDNZP00058,11894829.0,8972497.3,6648658.0
91,8882124.12,2019-04-10T09:50:00,4000000.0,2019-04-10,DPK,400000000.0,DPK10042019,178,70779.69,0.0,1.350145,TRYDNZP00058,11896189.0,8946002.58,6625955.0
92,8887424.52,2019-04-11T09:50:00,4000000.0,2019-04-11,DPK,400000000.0,DPK11042019,176,160240.3,0.0,1.350892,TRYDNZP00058,11896357.0,9040456.51,6692215.0
93,8954178.81,2019-04-12T10:50:00,4000000.0,2019-04-12,DPK,400000000.0,DPK12042019,174,51857.63,0.0,1.351511,TRYDNZP00058,11897121.0,8998522.18,6658120.0
94,8968921.53,2019-04-15T10:50:01,4000000.0,2019-04-15,DPK,400000000.0,DPK15042019,175,68397.03,0.0,1.353583,TRYDNZP00058,11897885.0,9029355.7,6670707.0
95,9126130.52,2019-04-16T10:50:01,4000000.0,2019-04-16,DPK,400000000.0,DPK16042019,174,65732.6,0.0,1.35422,TRYDNZP00058,11898656.0,9183588.47,6781458.0
96,9234744.07,2019-04-17T09:50:00,4000000.0,2019-04-17,DPK,400000000.0,DPK17042019,174,94386.12,0.0,1.354933,TRYDNZP00058,11899420.0,9320539.45,6878966.0
97,9239884.69,2019-04-18T10:50:00,4000000.0,2019-04-18,DPK,400000000.0,DPK18042019,173,102386.99,0.0,1.355634,TRYDNZP00058,11900184.0,9333364.46,6884871.0
98,9244759.25,2019-04-19T09:50:00,4000000.0,2019-04-19,DPK,400000000.0,DPK19042019,173,197385.75,0.0,1.356289,TRYDNZP00058,11900948.0,9432918.3,6954948.0
99,9085812.97,2019-04-22T10:50:03,4000000.0,2019-04-22,DPK,400000000.0,DPK22042019,171,59357.23,0.0,1.358599,TRYDNZP00058,11901712.0,9135012.71,6723846.0
100,9093613.88,2019-04-24T10:50:01,4000000.0,2019-04-24,DPK,400000000.0,DPK24042019,172,130178.29,0.0,1.359658,TRYDNZP00058,11902476.0,9213009.45,6775974.0
101,9098734.42,2019-04-25T10:50:00,4000000.0,2019-04-25,DPK,400000000.0,DPK25042019,170,178285.71,0.0,1.360364,TRYDNZP00058,11903240.0,9265923.2,6811356.0
102,9128930.79,2019-04-26T09:50:01,4000000.0,2019-04-26,DPK,400000000.0,DPK26042019,170,134006.55,0.0,1.360822,TRYDNZP00058,11904004.0,9251526.57,6798483.0
103,9145604.87,2019-04-29T10:50:00,4000000.0,2019-04-29,DPK,400000000.0,DPK29042019,174,244269.87,0.0,1.363107,TRYDNZP00058,11904769.0,9377511.04,6879510.0
104,9150700.14,2019-04-30T10:50:00,4000000.0,2019-04-30,DPK,400000000.0,DPK30042019,172,34873.13,0.0,1.363765,TRYDNZP00058,11905541.0,9172898.06,6726157.0
105,9260941.41,2019-05-02T09:50:01,4000000.0,2019-05-02,DPK,400000000.0,DPK02052019,172,131379.4,0.0,1.365163,TRYDNZP00058,11906313.0,9379009.83,6870248.0
106,9266043.84,2019-05-03T09:50:00,4000000.0,2019-05-03,DPK,400000000.0,DPK03052019,172,88268.92,0.0,1.365863,TRYDNZP00058,11907079.0,9340685.04,6838669.0
107,9252911.66,2019-05-06T09:50:00,4000000.0,2019-05-06,DPK,400000000.0,DPK06052019,172,128459.82,0.0,1.367923,TRYDNZP00058,11907849.0,9366791.25,6847454.0
108,9253498.48,2019-05-07T10:50:01,4000000.0,2019-05-07,DPK,400000000.0,DPK07052019,172,143556.22,0.0,1.367962,TRYDNZP00058,11908616.0,9382156.51,6858490.0
109,9258689.76,2019-05-08T10:50:00,4000000.0,2019-05-08,DPK,400000000.0,DPK08052019,172,136101.56,0.0,1.368673,TRYDNZP00058,11909383.0,9388553.53,6859604.0
110,9334342.34,2019-05-09T10:50:00,4000000.0,2019-05-09,DPK,400000000.0,DPK09052019,173,71034.29,0.0,1.369324,TRYDNZP00058,11910150.0,9398820.24,6863839.0
111,9339574.37,2019-05-10T10:50:00,4000000.0,2019-05-10,DPK,400000000.0,DPK10052019,174,104581.37,0.0,1.370037,TRYDNZP00058,11910917.0,9437279.58,6888338.0
112,9297123.19,2019-05-13T10:50:01,4000000.0,2019-05-13,DPK,400000000.0,DPK13052019,175,193213.42,0.0,1.372128,TRYDNZP00058,11911682.0,9482497.3,6910798.0
113,9293724.43,2019-05-14T10:52:44,4000000.0,2019-05-14,DPK,400000000.0,DPK14052019,175,67151.95,0.0,1.371569,TRYDNZP00058,11912450.0,9352719.92,6818995.0
114,9338648.46,2019-05-15T10:50:00,4000000.0,2019-05-15,DPK,400000000.0,DPK15052019,178,81971.21,0.0,1.373396,TRYDNZP00058,11913219.0,9412144.2,6853189.0
115,9343277.93,2019-05-16T10:50:00,4000000.0,2019-05-16,DPK,400000000.0,DPK16052019,176,76419.84,0.0,1.374004,TRYDNZP00058,11913989.0,9410903.31,6849256.0
116,9348660.1,2019-05-17T10:50:00,4000000.0,2019-05-17,DPK,400000000.0,DPK17052019,176,76432.21,0.0,1.374743,TRYDNZP00058,11914758.0,9415978.7,6849265.0
117,9336718.56,2019-05-20T09:50:00,4000000.0,2019-05-20,DPK,400000000.0,DPK20052019,176,69832.9,0.0,1.377325,TRYDNZP00058,11915525.0,9396482.23,6822267.0
118,9339155.59,2019-05-21T10:50:00,4000000.0,2019-05-21,DPK,400000000.0,DPK21052019,176,73073.74,0.0,1.377636,TRYDNZP00058,11916292.0,9401841.39,6824620.0
119,9344601.06,2019-05-22T10:50:00,4000000.0,2019-05-22,DPK,400000000.0,DPK22052019,176,70071.87,0.0,1.378387,TRYDNZP00058,11917059.0,9403966.21,6822441.0
120,9187405.84,2019-05-23T09:50:01,4000000.0,2019-05-23,DPK,400000000.0,DPK23052019,176,227680.4,0.0,1.379135,TRYDNZP00058,11917828.0,9404061.01,6818811.0
121,9192825.35,2019-05-24T10:50:00,4000000.0,2019-05-24,DPK,400000000.0,DPK24052019,175,121267.72,0.0,1.379892,TRYDNZP00058,11918595.0,9302752.36,6741652.0
122,9287213.53,2019-05-27T11:50:00,4000000.0,2019-05-27,DPK,400000000.0,DPK27052019,178,65428.67,0.0,1.382179,TRYDNZP00058,11919362.0,9340351.18,6757700.0
123,9293205.44,2019-05-28T10:50:00,4000000.0,2019-05-28,DPK,400000000.0,DPK28052019,179,67539.26,0.0,1.383019,TRYDNZP00058,11920129.0,9348136.67,6759227.0
124,9298620.35,2019-05-29T10:50:00,4000000.0,2019-05-29,DPK,400000000.0,DPK29052019,179,116397.17,0.0,1.383769,TRYDNZP00058,11920896.0,9402090.85,6794554.0
125,9304142.07,2019-05-30T08:50:00,4000000.0,2019-05-30,DPK,400000000.0,DPK30052019,145,97612.5,0.0,1.384536,TRYDNZP00058,11921663.0,9388509.65,6780979.0
126,9309641.77,2019-05-31T10:50:00,4000000.0,2019-05-31,DPK,400000000.0,DPK31052019,178,96423.18,0.0,1.3853,TRYDNZP00058,11922430.0,9392501.65,6780120.0
127,9204747.82,2019-06-03T11:50:00,4000000.0,2019-06-03,DPK,400000000.0,DPK03062019,175,43226.24,0.0,1.387924,TRYDNZP00058,11923200.0,9233470.5,6652722.0
128,9226037.74,2019-06-07T09:50:00,4000000.0,2019-06-07,DPK,400000000.0,DPK07062019,176,48171.4,0.0,1.390933,TRYDNZP00058,11923971.0,9258448.75,6656285.0
129,9242949.52,2019-06-10T11:50:00,4000000.0,2019-06-10,DPK,400000000.0,DPK10062019,176,52881.1,0.0,1.393331,TRYDNZP00058,11924738.0,9279125.66,6659671.0
130,9248060.09,2019-06-11T11:50:00,4000000.0,2019-06-11,DPK,400000000.0,DPK11062019,177,66705.73,0.0,1.39405,TRYDNZP00058,11925513.0,9297745.44,6669593.0
131,8822015.27,2019-06-12T10:50:00,4000000.0,2019-06-12,DPK,400000000.0,DPK12062019,178,518.32,0.0,1.394647,TRYDNZP00058,11926280.0,8814727.2,6320399.0
132,9027399.24,2019-06-13T10:50:00,4000000.0,2019-06-13,DPK,400000000.0,DPK13062019,180,804663.48,0.0,1.395283,TRYDNZP00058,11927046.0,9823925.5,7040813.0
133,9413159.63,2019-06-14T10:50:00,4000000.0,2019-06-14,DPK,400000000.0,DPK14062019,180,431654.06,0.0,1.396029,TRYDNZP00058,11927813.0,9836344.6,7045947.0
134,9751872.88,2019-06-17T10:50:00,4000000.0,2019-06-17,DPK,400000000.0,DPK17062019,180,56269.75,0.0,1.398261,TRYDNZP00058,11928581.0,9798679.57,7007763.0
135,9757792.47,2019-06-18T11:50:00,4000000.0,2019-06-18,DPK,400000000.0,DPK18062019,180,56269.75,0.0,1.399058,TRYDNZP00058,11929349.0,9804267.66,7007763.0
136,9764564.49,2019-06-19T09:26:25,4000000.0,2019-06-19,DPK,400000000.0,DPK19062019,180,245685.4,0.0,1.399959,TRYDNZP00058,11930118.0,10000117.95,7143151.0
137,9166068.87,2019-06-20T09:27:26,4000000.0,2019-06-20,DPK,400000000.0,DPK20062019,180,47263.12,0.0,1.400755,TRYDNZP00058,11930887.0,9202887.61,6569947.0
138,9171598.39,2019-06-21T09:29:41,4000000.0,2019-06-21,DPK,400000000.0,DPK21062019,180,52910.96,0.0,1.401549,TRYDNZP00058,11931663.0,9213752.2,6573979.0
139,9188883.7,2019-06-24T09:25:53,4000000.0,2019-06-24,DPK,400000000.0,DPK24062019,181,32163.83,0.0,1.404041,TRYDNZP00058,11932432.0,9209352.37,6559176.0
140,9097478.0,2019-06-25T09:26:06,4000000.0,2019-06-25,DPK,400000000.0,DPK25062019,180,127064.61,0.0,1.404834,TRYDNZP00058,11933201.0,9212534.84,6557741.0
141,9153476.75,2019-06-26T09:27:22,4000000.0,2019-06-26,DPK,400000000.0,DPK26062019,180,77608.28,0.0,1.405701,TRYDNZP00058,11933970.0,9218764.37,6558128.0
142,9159036.51,2019-06-27T09:29:53,4000000.0,2019-06-27,DPK,400000000.0,DPK27062019,180,72067.01,0.0,1.406501,TRYDNZP00058,11934740.0,9218469.97,6554186.0
143,9164565.18,2019-06-28T09:29:41,4000000.0,2019-06-28,DPK,400000000.0,DPK28062019,181,179172.06,0.0,1.407287,TRYDNZP00058,11935516.0,9330787.42,6630336.0
144,9311329.98,2019-07-01T09:25:06,4000000.0,2019-07-01,DPK,400000000.0,DPK01072019,181,33221.88,0.0,1.409606,TRYDNZP00058,11936282.0,9330185.97,6619002.0
145,9232948.24,2019-07-02T09:25:06,4000000.0,2019-07-02,DPK,400000000.0,DPK02072019,180,17471.6,0.0,1.41047,TRYDNZP00058,11937062.0,9235740.41,6547990.0
