,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3162531.69,2018-12-13T10:14:57,150000000.0,2018-12-03,IYB,15000000000.0,IYB03122018,58,11586.72,0.0,0.543438,TRMIYBWWWWW9,9032240.0,3281620.44,6038634.0
1,3174453.51,2018-12-14T10:14:56,150000000.0,2018-12-04,IYB,15000000000.0,IYB04122018,58,2219.22,0.0,0.543832,TRMIYBWWWWW9,9057790.0,3283999.63,6038634.0
2,3170031.88,2018-12-15T10:14:55,150000000.0,2018-12-05,IYB,15000000000.0,IYB05122018,58,2219.22,0.0,0.54307,TRMIYBWWWWW9,9082318.0,3279403.07,6038634.0
3,3164803.62,2018-12-16T10:14:54,150000000.0,2018-12-06,IYB,15000000000.0,IYB06122018,58,2850.9,0.0,0.542997,TRMIYBWWWWW9,9090494.0,3278959.74,6038634.0
4,3160702.74,2018-12-17T10:14:59,150000000.0,2018-12-07,IYB,15000000000.0,IYB07122018,58,2850.9,0.0,0.542291,TRMIYBWWWWW9,9098670.0,3274696.51,6038634.0
5,3168776.93,2018-12-20T10:14:57,150000000.0,2018-12-10,IYB,15000000000.0,IYB10122018,58,2850.9,0.0,0.543501,TRMIYBWWWWW9,9170210.0,3282006.15,6038634.0
6,3171953.35,2018-12-21T10:14:56,150000000.0,2018-12-11,IYB,15000000000.0,IYB11122018,58,40366.07,0.0,0.548547,TRMIYBWWWWW9,9194738.0,3312472.96,6038634.0
7,3205363.41,2018-12-22T10:14:55,150000000.0,2018-12-12,IYB,15000000000.0,IYB12122018,57,1900.57,0.0,0.548274,TRMIYBWWWWW9,9219266.0,3307373.49,6032334.0
8,3200693.88,2018-12-23T10:14:54,150000000.0,2018-12-13,IYB,15000000000.0,IYB13122018,57,874.88,0.0,0.547464,TRMIYBWWWWW9,9227442.0,3301502.37,6030534.0
9,3196848.14,2018-12-24T10:14:53,150000000.0,2018-12-14,IYB,15000000000.0,IYB14122018,56,272.67,0.0,0.546797,TRMIYBWWWWW9,9235619.0,3296878.73,6029434.0
10,3201948.75,2018-12-27T10:14:57,150000000.0,2018-12-17,IYB,15000000000.0,IYB17122018,56,272.67,0.0,0.547556,TRMIYBWWWWW9,9307158.0,3301451.66,6029434.0
11,3198773.88,2018-12-28T10:14:59,150000000.0,2018-12-18,IYB,15000000000.0,IYB18122018,56,272.67,0.0,0.547,TRMIYBWWWWW9,9332603.0,3298101.04,6029434.0
12,3201170.18,2018-12-29T10:14:58,150000000.0,2018-12-19,IYB,15000000000.0,IYB19122018,56,272.67,0.0,0.547368,TRMIYBWWWWW9,9357131.0,3300321.5,6029434.0
13,3209967.14,2018-12-30T10:14:58,150000000.0,2018-12-20,IYB,15000000000.0,IYB20122018,56,272.67,0.0,0.548798,TRMIYBWWWWW9,9365306.0,3308942.24,6029434.0
14,3221091.72,2018-12-31T10:15:00,150000000.0,2018-12-21,IYB,15000000000.0,IYB21122018,56,272.67,0.0,0.550597,TRMIYBWWWWW9,9373482.0,3319785.65,6029434.0
15,3219462.03,2019-01-03T10:14:57,150000000.0,2018-12-24,IYB,15000000000.0,IYB24122018,56,2657.01,0.0,0.550651,TRMIYBWWWWW9,9425604.0,3320114.64,6029434.0
16,3217874.45,2019-01-04T10:14:57,150000000.0,2018-12-25,IYB,15000000000.0,IYB25122018,56,2657.01,0.0,0.550347,TRMIYBWWWWW9,9450132.0,3318280.68,6029434.0
17,3212179.46,2019-01-05T10:14:56,150000000.0,2018-12-26,IYB,15000000000.0,IYB26122018,56,2657.01,0.0,0.549385,TRMIYBWWWWW9,9473638.0,3312479.06,6029434.0
18,3211056.2,2019-01-06T10:14:55,150000000.0,2018-12-27,IYB,15000000000.0,IYB27122018,56,2657.01,0.0,0.549169,TRMIYBWWWWW9,9480792.0,3311179.48,6029434.0
19,3212078.04,2019-01-07T10:15:00,150000000.0,2018-12-28,IYB,15000000000.0,IYB28122018,56,2657.01,0.0,0.549309,TRMIYBWWWWW9,9487946.0,3312024.96,6029434.0
20,3214533.71,2019-01-10T10:14:57,150000000.0,2018-12-31,IYB,15000000000.0,IYB31122018,56,2107.7,0.0,0.549603,TRMIYBWWWWW9,9556420.0,3313247.56,6028434.0
21,3221960.7,2019-01-12T10:14:58,150000000.0,2019-01-02,IYB,15000000000.0,IYB02012019,56,2110.58,0.0,0.550762,TRMIYBWWWWW9,9604350.0,3320231.77,6028434.0
22,3216644.08,2019-01-13T10:14:57,150000000.0,2019-01-03,IYB,15000000000.0,IYB03012019,56,2110.58,0.0,0.549858,TRMIYBWWWWW9,9612526.0,3314782.14,6028434.0
23,3200186.13,2019-01-14T10:14:59,150000000.0,2019-01-04,IYB,15000000000.0,IYB04012019,56,2110.58,0.0,0.547102,TRMIYBWWWWW9,9620702.0,3298168.06,6028434.0
24,3204838.11,2019-01-17T10:14:57,150000000.0,2019-01-07,IYB,15000000000.0,IYB07012019,56,627.68,0.0,0.548271,TRMIYBWWWWW9,9692242.0,3305218.39,6028434.0
25,3218513.09,2019-01-18T10:14:56,150000000.0,2019-01-08,IYB,15000000000.0,IYB08012019,56,298.72,0.0,0.550507,TRMIYBWWWWW9,9717792.0,3318363.25,6027834.0
26,3225392.67,2019-01-19T10:14:55,150000000.0,2019-01-09,IYB,15000000000.0,IYB09012019,56,1405.08,0.0,0.551798,TRMIYBWWWWW9,9742320.0,3326147.66,6027834.0
27,3230503.38,2019-01-20T10:14:54,150000000.0,2019-01-10,IYB,15000000000.0,IYB10012019,56,1304.75,0.0,0.552569,TRMIYBWWWWW9,9750496.0,3330797.18,6027834.0
28,3368394.04,2019-01-21T10:14:59,150000000.0,2019-01-11,IYB,15000000000.0,IYB11012019,57,1304.39,0.0,0.553157,TRMIYBWWWWW9,9758672.0,3468478.7,6270337.0
29,3357268.18,2019-01-24T10:14:57,150000000.0,2019-01-14,IYB,15000000000.0,IYB14012019,56,1257.26,0.0,0.554631,TRMIYBWWWWW9,9830212.0,3456786.43,6232588.0
30,3369675.79,2019-01-25T10:14:56,150000000.0,2019-01-15,IYB,15000000000.0,IYB15012019,56,1936.76,0.0,0.556722,TRMIYBWWWWW9,9855762.0,3469817.05,6232588.0
31,3378370.75,2019-01-26T10:14:55,150000000.0,2019-01-16,IYB,15000000000.0,IYB16012019,56,1925.63,0.0,0.558081,TRMIYBWWWWW9,9880290.0,3478290.84,6232588.0
32,3330853.82,2019-01-27T10:14:57,150000000.0,2019-01-17,IYB,15000000000.0,IYB17012019,56,912.89,0.0,0.557805,TRMIYBWWWWW9,9888363.0,3429581.39,6148348.0
33,3335846.39,2019-01-28T10:14:59,150000000.0,2019-01-18,IYB,15000000000.0,IYB18012019,56,912.89,0.0,0.558567,TRMIYBWWWWW9,9896539.0,3434262.35,6148348.0
34,3334018.79,2019-01-31T10:14:57,150000000.0,2019-01-21,IYB,15000000000.0,IYB21012019,56,912.89,0.0,0.558189,TRMIYBWWWWW9,9968079.0,3431937.42,6148348.0
35,3339390.65,2019-02-01T10:14:56,150000000.0,2019-01-22,IYB,15000000000.0,IYB22012019,56,3463.59,0.0,0.559448,TRMIYBWWWWW9,9993629.0,3439681.56,6148348.0
36,3337122.52,2019-02-02T10:14:55,150000000.0,2019-01-23,IYB,15000000000.0,IYB23012019,56,33963.58,0.0,0.559049,TRMIYBWWWWW9,10018157.0,3467705.39,6202866.0
37,3366096.02,2019-02-03T10:14:54,150000000.0,2019-01-24,IYB,15000000000.0,IYB24012019,56,1178.95,0.0,0.558401,TRMIYBWWWWW9,10026333.0,3463686.33,6202866.0
38,3361757.21,2019-02-04T10:15:00,150000000.0,2019-01-25,IYB,15000000000.0,IYB25012019,56,1820.72,0.0,0.557771,TRMIYBWWWWW9,10034509.0,3459781.54,6202866.0
39,2958483.1,2019-02-07T10:14:57,150000000.0,2019-01-28,IYB,15000000000.0,IYB28012019,56,822.03,0.0,0.560369,TRMIYBWWWWW9,10106049.0,3054942.0,5451664.0
40,2966807.36,2019-02-08T10:14:56,150000000.0,2019-01-29,IYB,15000000000.0,IYB29012019,56,822.03,0.0,0.561861,TRMIYBWWWWW9,10131599.0,3063076.97,5451664.0
41,2952798.43,2019-02-09T10:14:55,150000000.0,2019-01-30,IYB,15000000000.0,IYB30012019,56,822.03,0.0,0.559257,TRMIYBWWWWW9,10156129.0,3048879.41,5451664.0
42,3024819.9,2019-02-10T10:14:54,150000000.0,2019-01-31,IYB,15000000000.0,IYB31012019,56,1821.72,0.0,0.560843,TRMIYBWWWWW9,10164303.0,3121708.55,5566101.0
43,3032139.8,2019-02-11T10:14:53,150000000.0,2019-02-01,IYB,15000000000.0,IYB01022019,56,1433.59,0.0,0.562118,TRMIYBWWWWW9,10172479.0,3128807.97,5566101.0
44,3039268.85,2019-02-14T10:14:58,150000000.0,2019-02-04,IYB,15000000000.0,IYB04022019,56,2338.17,0.0,0.563444,TRMIYBWWWWW9,10244019.0,3136183.72,5566101.0
45,3041311.98,2019-02-15T10:14:57,150000000.0,2019-02-05,IYB,15000000000.0,IYB05022019,56,2338.17,0.0,0.56379,TRMIYBWWWWW9,10269569.0,3138113.88,5566101.0
46,3275097.19,2019-02-16T10:14:56,150000000.0,2019-02-06,IYB,15000000000.0,IYB06022019,58,14593.69,0.0,0.563703,TRMIYBWWWWW9,10294097.0,3383891.09,6002965.0
47,3264526.5,2019-02-17T10:15:00,150000000.0,2019-02-07,IYB,15000000000.0,IYB07022019,58,1077.0,0.0,0.563751,TRMIYBWWWWW9,10302170.0,3364176.83,5967486.0
48,3254685.23,2019-02-18T10:14:58,150000000.0,2019-02-08,IYB,15000000000.0,IYB08022019,58,1077.18,0.0,0.563727,TRMIYBWWWWW9,10310346.0,3354035.23,5949748.0
49,3259769.72,2019-02-21T10:14:57,150000000.0,2019-02-11,IYB,15000000000.0,IYB11022019,58,1077.18,0.0,0.564496,TRMIYBWWWWW9,10381886.0,3358608.29,5949748.0
50,3224466.84,2019-02-22T10:14:56,150000000.0,2019-02-12,IYB,15000000000.0,IYB12022019,57,928.51,0.0,0.565571,TRMIYBWWWWW9,10407435.0,3322875.91,5875258.0
51,3233158.78,2019-02-23T10:14:55,150000000.0,2019-02-13,IYB,15000000000.0,IYB13022019,57,880.51,0.0,0.567015,TRMIYBWWWWW9,10431962.0,3331357.91,5875258.0
52,3237750.27,2019-02-24T10:14:54,150000000.0,2019-02-14,IYB,15000000000.0,IYB14022019,57,4951.85,0.0,0.568451,TRMIYBWWWWW9,10440138.0,3339798.46,5875258.0
53,3208912.54,2019-02-25T10:14:59,150000000.0,2019-02-15,IYB,15000000000.0,IYB15022019,57,952.13,0.0,0.567405,TRMIYBWWWWW9,10448314.0,3306703.54,5827761.0
54,3217008.36,2019-02-28T10:14:57,150000000.0,2019-02-18,IYB,15000000000.0,IYB18022019,57,1817.32,0.0,0.569033,TRMIYBWWWWW9,10519854.0,3315051.85,5825761.0
55,3217004.16,2019-03-01T10:14:55,150000000.0,2019-02-19,IYB,15000000000.0,IYB19022019,57,1817.32,0.0,0.568991,TRMIYBWWWWW9,10545404.0,3314806.18,5825761.0
56,3213404.63,2019-03-02T10:14:55,150000000.0,2019-02-20,IYB,15000000000.0,IYB20022019,57,1817.32,0.0,0.568354,TRMIYBWWWWW9,10569932.0,3311095.4,5825761.0
57,3218755.17,2019-03-03T10:14:53,150000000.0,2019-02-21,IYB,15000000000.0,IYB21022019,57,1172.19,0.0,0.569141,TRMIYBWWWWW9,10578108.0,3315676.92,5825761.0
58,3277657.36,2019-03-04T10:14:52,150000000.0,2019-02-22,IYB,15000000000.0,IYB22022019,56,1191.67,0.0,0.570273,TRMIYBWWWWW9,10586282.0,3374394.81,5917161.0
59,3279836.35,2019-03-07T10:14:48,150000000.0,2019-02-25,IYB,15000000000.0,IYB25022019,56,1191.67,0.0,0.570537,TRMIYBWWWWW9,10657822.0,3375962.24,5917161.0
60,3269937.62,2019-03-08T10:15:00,150000000.0,2019-02-26,IYB,15000000000.0,IYB26022019,56,7669.15,0.0,0.569925,TRMIYBWWWWW9,10658844.0,3372337.32,5917161.0
61,3289218.69,2019-03-07T10:14:59,150000000.0,2019-02-27,IYB,15000000000.0,IYB27022019,56,2669.15,0.0,0.572304,TRMIYBWWWWW9,10659866.0,3386414.06,5917161.0
62,3294920.18,2019-03-07T10:15:03,150000000.0,2019-02-28,IYB,15000000000.0,IYB28022019,56,2669.15,0.0,0.573233,TRMIYBWWWWW9,10660888.0,3391910.95,5917161.0
63,3299452.21,2019-03-07T10:15:06,150000000.0,2019-03-01,IYB,15000000000.0,IYB01032019,56,2669.15,0.0,0.573964,TRMIYBWWWWW9,10661910.0,3396238.18,5917161.0
64,3305025.39,2019-03-07T10:15:10,150000000.0,2019-03-04,IYB,15000000000.0,IYB04032019,56,2477.44,0.0,0.574829,TRMIYBWWWWW9,10662932.0,3401358.55,5917161.0
65,3283664.77,2019-03-07T10:15:14,150000000.0,2019-03-05,IYB,15000000000.0,IYB05032019,55,1289.89,0.0,0.574725,TRMIYBWWWWW9,10663954.0,3378556.63,5878561.0
66,3482535.93,2019-03-07T10:15:18,150000000.0,2019-03-06,IYB,15000000000.0,IYB06032019,56,1942.7,0.0,0.57559,TRMIYBWWWWW9,10664976.0,3581939.05,6223071.0
67,3488638.84,2019-03-07T13:50:07,150000000.0,2019-03-07,IYB,15000000000.0,IYB07032019,56,1942.7,0.0,0.576516,TRMIYBWWWWW9,10667020.0,3587699.34,6223071.0
68,3492198.81,2019-03-08T10:50:00,150000000.0,2019-03-08,IYB,15000000000.0,IYB08032019,56,1942.7,0.0,0.577052,TRMIYBWWWWW9,10668042.0,3591036.84,6223071.0
69,3414032.45,2019-03-11T10:50:00,150000000.0,2019-03-11,IYB,15000000000.0,IYB11032019,55,1676.11,0.0,0.576296,TRMIYBWWWWW9,10668885.0,3512160.45,6094371.0
70,3413694.02,2019-03-12T10:22:47,150000000.0,2019-03-12,IYB,15000000000.0,IYB12032019,55,1608.47,0.0,0.576172,TRMIYBWWWWW9,10670532.0,3511408.81,6094371.0
71,3415117.24,2019-03-13T10:50:00,150000000.0,2019-03-13,IYB,15000000000.0,IYB13032019,55,456.13,0.0,0.576394,TRMIYBWWWWW9,10674278.0,3511604.94,6092371.0
72,3422328.19,2019-03-14T10:50:00,150000000.0,2019-03-14,IYB,15000000000.0,IYB14032019,55,456.13,0.0,0.577543,TRMIYBWWWWW9,10677055.0,3518605.4,6092371.0
73,3422541.11,2019-03-15T10:50:00,150000000.0,2019-03-15,IYB,15000000000.0,IYB15032019,55,408.13,0.0,0.577535,TRMIYBWWWWW9,10679791.0,3518559.83,6092371.0
74,3461413.12,2019-03-18T10:30:32,150000000.0,2019-03-18,IYB,15000000000.0,IYB18032019,55,2396.48,0.0,0.578873,TRMIYBWWWWW9,10680811.0,3558783.12,6147778.0
75,3470581.01,2019-03-19T10:50:00,150000000.0,2019-03-19,IYB,15000000000.0,IYB19032019,55,1189.48,0.0,0.580133,TRMIYBWWWWW9,10684642.0,3566531.29,6147778.0
76,3477073.13,2019-03-20T10:24:48,150000000.0,2019-03-20,IYB,15000000000.0,IYB20032019,55,1786.48,0.0,0.58124,TRMIYBWWWWW9,10686107.0,3573337.31,6147778.0
77,3475326.73,2019-03-21T10:50:00,150000000.0,2019-03-21,IYB,15000000000.0,IYB20032019,55,1736.48,0.0,0.580914,TRMIYBWWWWW9,10690227.0,3571328.49,6147778.0
78,3472127.21,2019-03-22T09:50:00,150000000.0,2019-03-22,IYB,15000000000.0,IYB21032019,55,1736.48,0.0,0.58037,TRMIYBWWWWW9,10692899.0,3567985.72,6147778.0
79,3463828.07,2019-03-25T09:50:00,150000000.0,2019-03-25,IYB,15000000000.0,IYB24032019,55,3951.35,0.0,0.579266,TRMIYBWWWWW9,10696040.0,3561196.71,6147778.0
80,3456483.4,2019-03-26T09:50:00,150000000.0,2019-03-26,IYB,15000000000.0,IYB25032019,55,951.35,0.0,0.577549,TRMIYBWWWWW9,11878282.0,3550640.63,6147778.0
81,3392467.0,2019-03-27T09:50:00,150000000.0,2019-03-27,IYB,15000000000.0,IYB26032019,55,1950.99,0.0,0.576696,TRMIYBWWWWW9,11881048.0,3487481.58,6047353.0
82,3388077.75,2019-03-28T09:50:00,150000000.0,2019-03-28,IYB,15000000000.0,IYB27032019,53,100.95,0.0,0.575858,TRMIYBWWWWW9,11883703.0,3480571.16,6044145.0
83,3347076.67,2019-03-29T11:50:00,150000000.0,2019-03-29,IYB,15000000000.0,IYB28032019,53,1638.55,0.0,0.569371,TRMIYBWWWWW9,11886723.0,3441363.18,6044145.0
84,3330783.46,2019-04-01T09:50:00,150000000.0,2019-04-01,IYB,15000000000.0,IYB01042019,52,1780.12,0.0,0.572252,TRMIYBWWWWW9,11890382.0,3434921.24,6002460.0
85,3338380.5,2019-04-02T09:50:00,150000000.0,2019-04-02,IYB,15000000000.0,IYB02042019,52,1780.12,0.0,0.573491,TRMIYBWWWWW9,11891591.0,3442358.35,6002460.0
86,3336939.06,2019-04-03T09:50:00,150000000.0,2019-04-03,IYB,15000000000.0,IYB03042019,52,637.48,0.0,0.573806,TRMIYBWWWWW9,11892369.0,3444245.78,6002460.0
87,3342026.58,2019-04-04T09:50:00,150000000.0,2019-04-04,IYB,15000000000.0,IYB04042019,52,2440.49,0.0,0.574939,TRMIYBWWWWW9,11893153.0,3451048.62,6002460.0
88,3365888.08,2019-04-05T10:50:00,150000000.0,2019-04-05,IYB,15000000000.0,IYB05042019,52,1577.22,0.0,0.578888,TRMIYBWWWWW9,11893938.0,3474751.01,6002460.0
89,3381618.83,2019-04-08T10:50:00,150000000.0,2019-04-08,IYB,15000000000.0,IYB08042019,52,983.47,0.0,0.581329,TRMIYBWWWWW9,11894712.0,3489401.71,6002460.0
90,3375640.14,2019-04-09T09:50:00,150000000.0,2019-04-09,IYB,15000000000.0,IYB09042019,52,2372.34,0.0,0.580537,TRMIYBWWWWW9,11895393.0,3484650.01,6002460.0
91,3379512.17,2019-04-10T09:50:00,150000000.0,2019-04-10,IYB,15000000000.0,IYB10042019,52,2200.59,0.0,0.581119,TRMIYBWWWWW9,11896232.0,3488146.0,6002460.0
92,3381174.69,2019-04-11T09:50:00,150000000.0,2019-04-11,IYB,15000000000.0,IYB11042019,52,2200.59,0.0,0.581405,TRMIYBWWWWW9,11896960.0,3489860.4,6002460.0
93,3375399.28,2019-04-12T10:50:00,150000000.0,2019-04-12,IYB,15000000000.0,IYB12042019,52,2200.59,0.0,0.580416,TRMIYBWWWWW9,11897770.0,3483923.14,6002460.0
94,3378967.44,2019-04-15T10:50:01,150000000.0,2019-04-15,IYB,15000000000.0,IYB15042019,52,2135.77,0.0,0.580919,TRMIYBWWWWW9,11898524.0,3486940.53,6002460.0
95,3373727.42,2019-04-16T10:50:01,150000000.0,2019-04-16,IYB,15000000000.0,IYB16042019,52,2087.77,0.0,0.580003,TRMIYBWWWWW9,11899294.0,3481445.28,6002460.0
96,3381445.24,2019-04-17T09:50:00,150000000.0,2019-04-17,IYB,15000000000.0,IYB17042019,52,7516.64,0.0,0.582151,TRMIYBWWWWW9,11900025.0,3494338.05,6002460.0
97,3367804.2,2019-04-18T10:50:00,150000000.0,2019-04-18,IYB,15000000000.0,IYB18042019,52,1517.1,0.0,0.584056,TRMIYBWWWWW9,11900802.0,3474673.16,5949210.0
98,3368310.68,2019-04-19T09:50:00,150000000.0,2019-04-19,IYB,15000000000.0,IYB19042019,52,1517.1,0.0,0.584114,TRMIYBWWWWW9,11901553.0,3475018.2,5949210.0
99,3368573.33,2019-04-22T10:50:03,150000000.0,2019-04-22,IYB,15000000000.0,IYB22042019,52,1517.1,0.0,0.584077,TRMIYBWWWWW9,11902348.0,3474796.57,5949210.0
100,3368967.18,2019-04-24T10:50:01,150000000.0,2019-04-24,IYB,15000000000.0,IYB24042019,52,3927.97,0.0,0.584486,TRMIYBWWWWW9,11903122.0,3477232.83,5949210.0
