,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,412312.52,2018-12-13T10:14:57,5000000.0,2018-12-03,EID,500000000.0,EID03122018,10,1024.54,34064.97,0.046926,TRYISVH00011,9032123.0,411503.34,8769186.0
1,396652.07,2018-12-14T10:14:56,5000000.0,2018-12-04,EID,500000000.0,EID04122018,10,2186.93,29018.63,0.046622,TRYISVH00011,9057673.0,407289.66,8735996.0
2,396504.0,2018-12-15T10:14:55,5000000.0,2018-12-05,EID,500000000.0,EID05122018,10,1316.17,33021.16,0.046146,TRYISVH00011,9082201.0,404619.73,8768169.0
3,403924.94,2018-12-16T10:14:54,5000000.0,2018-12-06,EID,500000000.0,EID06122018,11,1078.84,42026.81,0.045965,TRYISVH00011,9090377.0,404809.32,8806915.0
4,398427.03,2018-12-17T10:14:59,5000000.0,2018-12-07,EID,500000000.0,EID07122018,11,1104.06,42026.52,0.045339,TRYISVH00011,9098553.0,399298.29,8806915.0
5,401931.77,2018-12-20T10:14:57,5000000.0,2018-12-10,EID,500000000.0,EID10122018,11,1128.99,42081.12,0.045726,TRYISVH00011,9170093.0,402708.76,8806915.0
6,371026.44,2018-12-21T10:14:56,5000000.0,2018-12-11,EID,500000000.0,EID11122018,11,2182.3,41026.57,0.045359,TRYISVH00011,9194621.0,399475.62,8806915.0
7,372066.98,2018-12-22T10:14:55,5000000.0,2018-12-12,EID,500000000.0,EID12122018,11,1207.31,42026.93,0.045363,TRYISVH00011,9219149.0,353037.13,7782415.0
8,340874.1,2018-12-23T10:14:54,5000000.0,2018-12-13,EID,500000000.0,EID13122018,9,1387.51,22013.95,0.044145,TRYISVH00011,9227325.0,341847.87,7743669.0
9,335714.88,2018-12-24T10:14:53,5000000.0,2018-12-14,EID,500000000.0,EID14122018,8,643.0,21013.38,0.044633,TRYISVH00011,9235502.0,345626.04,7743669.0
10,322205.99,2018-12-27T10:14:57,5000000.0,2018-12-17,EID,500000000.0,EID17122018,8,10423.7,13024.58,0.043911,TRYISVH00011,9307041.0,340028.54,7743669.0
11,336833.28,2018-12-28T10:14:59,5000000.0,2018-12-18,EID,500000000.0,EID18122018,8,2365.07,29018.59,0.043732,TRYISVH00011,9332487.0,338646.55,7743669.0
12,341274.16,2018-12-29T10:14:58,5000000.0,2018-12-19,EID,500000000.0,EID19122018,8,2183.65,29018.63,0.044304,TRYISVH00011,9357015.0,343071.73,7743669.0
13,347830.57,2018-12-30T10:14:58,5000000.0,2018-12-20,EID,500000000.0,EID20122018,8,2335.49,29018.47,0.045167,TRYISVH00011,9365191.0,349755.73,7743669.0
14,346138.34,2018-12-31T10:15:00,5000000.0,2018-12-21,EID,500000000.0,EID21122018,8,2352.87,29018.59,0.044991,TRYISVH00011,9373367.0,348392.84,7743669.0
15,347969.86,2019-01-03T10:14:57,5000000.0,2018-12-24,EID,500000000.0,EID24122018,8,2370.36,29055.66,0.045216,TRYISVH00011,9425489.0,350137.93,7743669.0
16,349818.55,2019-01-04T10:14:57,5000000.0,2018-12-25,EID,500000000.0,EID25122018,8,760.61,31019.83,0.045199,TRYISVH00011,9450017.0,350007.28,7743669.0
17,346419.06,2019-01-05T10:14:56,5000000.0,2018-12-26,EID,500000000.0,EID26122018,8,1779.26,30019.32,0.044887,TRYISVH00011,9473523.0,347592.86,7743669.0
18,346611.72,2019-01-06T10:14:55,5000000.0,2018-12-27,EID,500000000.0,EID27122018,8,1797.44,30019.19,0.04491,TRYISVH00011,9480677.0,347770.06,7743669.0
19,348777.79,2019-01-07T10:15:00,5000000.0,2018-12-28,EID,500000000.0,EID28122018,8,1726.45,30019.27,0.04457,TRYISVH00011,9487831.0,345135.82,7743669.0
20,350391.84,2019-01-10T10:14:57,5000000.0,2018-12-31,EID,500000000.0,EID31122018,8,1745.68,30056.84,0.044768,TRYISVH00011,9556305.0,346666.28,7743669.0
21,344727.45,2019-01-12T10:14:58,5000000.0,2019-01-02,EID,500000000.0,EID02012019,8,1014.94,26033.84,0.04512,TRYISVH00011,9604236.0,349395.82,7743669.0
22,338402.2,2019-01-13T10:14:57,5000000.0,2019-01-03,EID,500000000.0,EID03012019,8,547.62,29018.95,0.043577,TRYISVH00011,9612412.0,337445.87,7743669.0
23,328615.31,2019-01-14T10:14:59,5000000.0,2019-01-04,EID,500000000.0,EID04012019,8,5096.02,29018.79,0.042859,TRYISVH00011,9620588.0,331882.54,7743669.0
24,337368.94,2019-01-17T10:14:57,5000000.0,2019-01-07,EID,500000000.0,EID07012019,9,1222.39,33064.01,0.04346,TRYISVH00011,9692128.0,337553.7,7767001.0
25,341265.33,2019-01-18T10:14:56,5000000.0,2019-01-08,EID,500000000.0,EID08012019,9,1862.5,34021.84,0.043837,TRYISVH00011,9717678.0,340480.05,7767001.0
26,342952.03,2019-01-19T10:14:55,5000000.0,2019-01-09,EID,500000000.0,EID09012019,9,883.05,35022.63,0.043924,TRYISVH00011,9742206.0,341154.48,7767001.0
27,341402.7,2019-01-20T10:14:54,5000000.0,2019-01-10,EID,500000000.0,EID10012019,9,1873.25,34022.08,0.043984,TRYISVH00011,9750382.0,340593.72,7743669.0
28,342667.83,2019-01-21T10:14:59,5000000.0,2019-01-11,EID,500000000.0,EID11012019,8,1869.26,33021.43,0.044068,TRYISVH00011,9758558.0,341246.81,7743669.0
29,345016.21,2019-01-24T10:14:57,5000000.0,2019-01-14,EID,500000000.0,EID14012019,8,1889.49,33064.28,0.044361,TRYISVH00011,9830098.0,343513.57,7743669.0
30,347210.28,2019-01-25T10:14:56,5000000.0,2019-01-15,EID,500000000.0,EID15012019,8,1334.32,32020.82,0.044418,TRYISVH00011,9855648.0,343957.53,7743669.0
31,352501.96,2019-01-26T10:14:55,5000000.0,2019-01-16,EID,500000000.0,EID16012019,8,1305.97,32020.73,0.045099,TRYISVH00011,9880176.0,349235.11,7743669.0
32,383689.35,2019-01-27T10:14:57,5000000.0,2019-01-17,EID,500000000.0,EID17012019,9,1539.4,39025.43,0.046378,TRYISVH00011,9888249.0,369422.77,7965403.0
33,384417.12,2019-01-28T10:14:59,5000000.0,2019-01-18,EID,500000000.0,EID18012019,9,1563.35,39025.64,0.047053,TRYISVH00011,9896425.0,374797.49,7965403.0
34,370576.92,2019-01-31T10:14:57,5000000.0,2019-01-21,EID,500000000.0,EID21012019,9,595.02,26051.39,0.047447,TRYISVH00011,9967965.0,377936.06,7965403.0
35,368728.71,2019-02-01T10:14:56,5000000.0,2019-01-22,EID,500000000.0,EID22012019,9,1301.97,30019.73,0.047187,TRYISVH00011,9993515.0,374343.3,7933230.0
36,375380.25,2019-02-02T10:14:55,5000000.0,2019-01-23,EID,500000000.0,EID23012019,8,1859.64,32021.17,0.047767,TRYISVH00011,10018043.0,378949.68,7933230.0
37,382706.71,2019-02-03T10:14:54,5000000.0,2019-01-24,EID,500000000.0,EID24012019,8,646.76,37024.08,0.047934,TRYISVH00011,10026219.0,369643.95,7711496.0
38,373351.75,2019-02-04T10:15:00,5000000.0,2019-01-25,EID,500000000.0,EID25012019,7,1043.34,26016.6,0.049132,TRYISVH00011,10034395.0,378883.18,7711496.0
39,370807.15,2019-02-07T10:14:57,5000000.0,2019-01-28,EID,500000000.0,EID28012019,7,1058.95,26050.43,0.049425,TRYISVH00011,10105935.0,381143.36,7711496.0
40,376368.24,2019-02-08T10:14:56,5000000.0,2019-01-29,EID,500000000.0,EID29012019,7,1714.38,33021.02,0.049238,TRYISVH00011,10131485.0,379696.91,7711496.0
41,389671.72,2019-02-09T10:14:55,5000000.0,2019-01-30,EID,500000000.0,EID30012019,8,1935.53,38024.47,0.050311,TRYISVH00011,10156013.0,388282.54,7717588.0
42,389749.18,2019-02-10T10:14:54,5000000.0,2019-01-31,EID,500000000.0,EID31012019,8,1708.2,38024.1,0.050661,TRYISVH00011,10164189.0,390978.4,7717588.0
43,385700.98,2019-02-11T10:14:53,5000000.0,2019-02-01,EID,500000000.0,EID01022019,8,1730.86,38024.41,0.050748,TRYISVH00011,10172365.0,391346.54,7711496.0
44,385988.53,2019-02-14T10:14:58,5000000.0,2019-02-04,EID,500000000.0,EID04022019,7,1073.54,41078.52,0.050425,TRYISVH00011,10243905.0,388855.66,7711496.0
45,390177.39,2019-02-15T10:14:57,5000000.0,2019-02-05,EID,500000000.0,EID05022019,8,1388.89,46029.43,0.050326,TRYISVH00011,10269455.0,388584.14,7721411.0
46,390439.35,2019-02-16T10:14:56,5000000.0,2019-02-06,EID,500000000.0,EID06022019,8,1837.68,45028.36,0.050303,TRYISVH00011,10293983.0,388411.69,7721411.0
47,389810.6,2019-02-17T10:15:00,5000000.0,2019-02-07,EID,500000000.0,EID07022019,8,1864.34,45028.6,0.049999,TRYISVH00011,10302056.0,386060.2,7721411.0
48,388150.95,2019-02-18T10:14:58,5000000.0,2019-02-08,EID,500000000.0,EID08022019,8,1458.42,44028.45,0.049999,TRYISVH00011,10310232.0,386060.55,7721411.0
49,384036.59,2019-02-21T10:14:57,5000000.0,2019-02-11,EID,500000000.0,EID11022019,8,1768.48,42079.57,0.049714,TRYISVH00011,10381772.0,383859.51,7721411.0
50,390609.72,2019-02-22T10:14:56,5000000.0,2019-02-12,EID,500000000.0,EID12022019,8,1483.49,43027.04,0.050441,TRYISVH00011,10407322.0,389473.27,7721411.0
51,388459.05,2019-02-23T10:14:55,5000000.0,2019-02-13,EID,500000000.0,EID13022019,9,1643.89,43026.92,0.049892,TRYISVH00011,10431849.0,385368.09,7724087.0
52,379135.04,2019-02-24T10:14:54,5000000.0,2019-02-14,EID,500000000.0,EID14022019,9,1669.19,43027.04,0.049173,TRYISVH00011,10440025.0,379813.02,7724087.0
53,380634.76,2019-02-25T10:14:59,5000000.0,2019-02-15,EID,500000000.0,EID15022019,9,1487.47,41025.89,0.049258,TRYISVH00011,10448201.0,380475.25,7724087.0
54,384437.05,2019-02-28T10:14:57,5000000.0,2019-02-18,EID,500000000.0,EID18022019,9,1290.98,45085.62,0.049367,TRYISVH00011,10519741.0,381315.49,7724087.0
55,381353.03,2019-03-01T10:14:55,5000000.0,2019-02-19,EID,500000000.0,EID19022019,9,546.85,43027.1,0.049233,TRYISVH00011,10545291.0,380279.06,7724087.0
56,381951.2,2019-03-02T10:14:55,5000000.0,2019-02-20,EID,500000000.0,EID20022019,9,1691.87,43027.27,0.049309,TRYISVH00011,10569819.0,380866.25,7724087.0
57,384258.34,2019-03-03T10:14:53,5000000.0,2019-02-21,EID,500000000.0,EID21022019,9,1717.52,43027.33,0.049606,TRYISVH00011,10577995.0,383162.35,7724087.0
58,389167.13,2019-03-04T10:14:52,5000000.0,2019-02-22,EID,500000000.0,EID22022019,9,1743.23,43027.1,0.050222,TRYISVH00011,10586170.0,387919.68,7724087.0
59,392034.35,2019-03-07T10:14:48,5000000.0,2019-02-25,EID,500000000.0,EID25022019,9,1768.71,43078.28,0.050582,TRYISVH00011,10657710.0,390696.82,7724087.0
60,396127.22,2019-03-08T10:15:00,5000000.0,2019-02-26,EID,500000000.0,EID26022019,9,1479.93,43026.57,0.051532,TRYISVH00011,10658732.0,398038.19,7724087.0
61,395797.78,2019-03-07T10:14:59,5000000.0,2019-02-27,EID,500000000.0,EID27022019,9,1504.88,43026.62,0.051488,TRYISVH00011,10659754.0,397184.66,7714172.0
62,399031.33,2019-03-07T10:15:03,5000000.0,2019-02-28,EID,500000000.0,EID28022019,8,1228.23,46028.73,0.051422,TRYISVH00011,10660776.0,396677.17,7714172.0
63,399228.85,2019-03-07T10:15:06,5000000.0,2019-03-01,EID,500000000.0,EID01032019,8,1662.22,44027.73,0.0517,TRYISVH00011,10661798.0,398681.95,7711496.0
64,381272.08,2019-03-07T10:15:10,5000000.0,2019-03-04,EID,500000000.0,EID04032019,7,1336.89,41078.01,0.051623,TRYISVH00011,10662820.0,398088.5,7711496.0
65,387307.26,2019-03-07T10:15:14,5000000.0,2019-03-05,EID,500000000.0,EID05032019,7,1360.58,41025.61,0.051801,TRYISVH00011,10663842.0,399461.75,7711496.0
66,398959.24,2019-03-07T10:15:18,5000000.0,2019-03-06,EID,500000000.0,EID06032019,7,1943.73,54033.51,0.051624,TRYISVH00011,10664864.0,398099.53,7711496.0
67,398186.31,2019-03-07T13:50:07,5000000.0,2019-03-07,EID,500000000.0,EID07032019,7,1274.16,50030.82,0.052043,TRYISVH00011,10666908.0,400053.67,7686964.0
68,385608.45,2019-03-08T10:50:00,5000000.0,2019-03-08,EID,500000000.0,EID08032019,6,1036.65,49030.07,0.051491,TRYISVH00011,10667930.0,395807.05,7686964.0
69,380043.38,2019-03-11T10:50:00,5000000.0,2019-03-11,EID,500000000.0,EID11032019,6,1064.88,49090.01,0.050866,TRYISVH00011,10668773.0,391005.43,7686964.0
70,380478.2,2019-03-12T10:22:47,5000000.0,2019-03-12,EID,500000000.0,EID12032019,6,1466.61,56034.37,0.050131,TRYISVH00011,10670420.0,385352.73,7686964.0
71,381713.56,2019-03-13T10:50:00,5000000.0,2019-03-13,EID,500000000.0,EID13032019,6,1349.35,57035.14,0.050161,TRYISVH00011,10672945.0,385583.9,7686964.0
72,392024.8,2019-03-14T10:50:00,5000000.0,2019-03-14,EID,500000000.0,EID14032019,6,1243.15,58035.83,0.050436,TRYISVH00011,10675649.0,387696.51,7686964.0
73,393563.99,2019-03-15T10:50:00,5000000.0,2019-03-15,EID,500000000.0,EID15032019,6,1276.79,58035.99,0.050635,TRYISVH00011,10678384.0,389232.61,7686964.0
74,384943.52,2019-03-18T10:30:32,5000000.0,2019-03-18,EID,500000000.0,EID18032019,6,1066.0,51097.04,0.051085,TRYISVH00011,10680697.0,392690.35,7686964.0
75,388975.01,2019-03-19T10:50:00,5000000.0,2019-03-19,EID,500000000.0,EID19032019,6,1160.46,51032.0,0.051617,TRYISVH00011,10683372.0,396779.2,7686964.0
76,395182.05,2019-03-20T10:24:48,5000000.0,2019-03-20,EID,500000000.0,EID20032019,6,1124.45,56035.06,0.051773,TRYISVH00011,10685993.0,397978.47,7686964.0
77,391015.52,2019-03-21T10:50:00,5000000.0,2019-03-21,EID,500000000.0,EID20032019,6,1157.4,56035.06,0.051231,TRYISVH00011,10689544.0,393807.62,7686964.0
78,391231.95,2019-03-22T09:50:00,5000000.0,2019-03-22,EID,500000000.0,EID21032019,6,1190.35,56034.9,0.051258,TRYISVH00011,10691484.0,394019.71,7686964.0
79,375935.28,2019-03-25T09:50:00,5000000.0,2019-03-25,EID,500000000.0,EID24032019,6,1223.22,56104.48,0.049488,TRYISVH00011,10694770.0,380415.83,7686964.0
80,386363.05,2019-03-26T09:50:00,5000000.0,2019-03-26,EID,500000000.0,EID25032019,6,1324.9,56038.36,0.049039,TRYISVH00011,11877006.0,376960.39,7686964.0
81,384257.81,2019-03-27T09:50:00,5000000.0,2019-03-27,EID,500000000.0,EID26032019,6,1132.73,58039.09,0.048621,TRYISVH00011,11879681.0,373746.14,7686964.0
82,354375.84,2019-03-28T09:50:00,5000000.0,2019-03-28,EID,500000000.0,EID27032019,6,1216.52,44030.5,0.04667,TRYISVH00011,11882276.0,358747.39,7686964.0
83,358232.29,2019-03-29T10:50:01,5000000.0,2019-03-29,EID,500000000.0,EID28032019,6,1135.12,45031.87,0.04704,TRYISVH00011,11885038.0,361598.18,7686964.0
84,364720.48,2019-04-01T09:50:00,5000000.0,2019-04-01,EID,500000000.0,EID01042019,6,1045.06,46096.98,0.047744,TRYISVH00011,11889107.0,367008.16,7686964.0
85,376987.99,2019-04-02T09:50:00,5000000.0,2019-04-02,EID,500000000.0,EID02042019,6,1139.62,46031.51,0.04805,TRYISVH00011,11890967.0,369355.22,7686964.0
86,382917.66,2019-04-03T09:50:00,5000000.0,2019-04-03,EID,500000000.0,EID03042019,6,3826.15,46031.7,0.048218,TRYISVH00011,11891740.0,370649.34,7686964.0
87,372751.87,2019-04-04T09:50:00,5000000.0,2019-04-04,EID,500000000.0,EID04042019,6,3888.02,35024.02,0.048404,TRYISVH00011,11892515.0,372078.04,7686964.0
88,379041.84,2019-04-05T10:50:00,5000000.0,2019-04-05,EID,500000000.0,EID05042019,6,1229.67,33022.2,0.049503,TRYISVH00011,11893291.0,380528.98,7686964.0
89,378153.39,2019-04-08T10:50:00,5000000.0,2019-04-08,EID,500000000.0,EID08042019,6,1839.48,33067.27,0.049376,TRYISVH00011,11894068.0,379548.89,7686964.0
90,375114.06,2019-04-09T09:50:00,5000000.0,2019-04-09,EID,500000000.0,EID09042019,6,1077.76,34021.8,0.048854,TRYISVH00011,11894845.0,375539.28,7686964.0
91,380164.99,2019-04-10T09:50:00,5000000.0,2019-04-10,EID,500000000.0,EID10042019,6,1098.27,34022.31,0.049509,TRYISVH00011,11895593.0,380573.96,7686964.0
92,377346.57,2019-04-11T09:50:00,5000000.0,2019-04-11,EID,500000000.0,EID11042019,6,1096.17,34021.98,0.04914,TRYISVH00011,11896373.0,377740.08,7686964.0
93,373745.67,2019-04-12T10:50:00,5000000.0,2019-04-12,EID,500000000.0,EID12042019,6,1116.86,34021.89,0.04867,TRYISVH00011,11897137.0,374123.75,7686964.0
94,369535.42,2019-04-15T10:50:01,5000000.0,2019-04-15,EID,500000000.0,EID15042019,6,1137.46,34065.39,0.048366,TRYISVH00011,11897901.0,371785.87,7686964.0
95,370484.09,2019-04-16T10:50:01,5000000.0,2019-04-16,EID,500000000.0,EID16042019,6,1153.13,34021.01,0.048493,TRYISVH00011,11898672.0,372762.66,7686964.0
96,376870.63,2019-04-17T09:50:00,5000000.0,2019-04-17,EID,500000000.0,EID17042019,6,910.23,36022.24,0.049061,TRYISVH00011,11899436.0,377132.52,7686964.0
97,378758.21,2019-04-18T10:50:00,5000000.0,2019-04-18,EID,500000000.0,EID18042019,6,931.12,36022.73,0.049305,TRYISVH00011,11900200.0,379004.55,7686964.0
98,374783.6,2019-04-19T09:50:00,5000000.0,2019-04-19,EID,500000000.0,EID19042019,6,952.49,36023.18,0.048916,TRYISVH00011,11900964.0,376015.07,7686964.0
99,374340.29,2019-04-22T10:50:03,5000000.0,2019-04-22,EID,500000000.0,EID22042019,6,1974.43,35069.04,0.048977,TRYISVH00011,11901728.0,376482.02,7686964.0
100,374260.43,2019-04-24T10:50:01,5000000.0,2019-04-24,EID,500000000.0,EID24042019,6,1041.46,37048.25,0.048705,TRYISVH00011,11902492.0,374396.33,7686964.0
101,369396.29,2019-04-25T10:50:00,5000000.0,2019-04-25,EID,500000000.0,EID25042019,6,793.06,37024.13,0.048871,TRYISVH00011,11903256.0,375666.03,7686964.0
102,363085.22,2019-04-26T09:50:01,5000000.0,2019-04-26,EID,500000000.0,EID26042019,6,1815.78,36023.28,0.048364,TRYISVH00011,11904020.0,371769.92,7686964.0
103,371311.56,2019-04-29T10:50:00,5000000.0,2019-04-29,EID,500000000.0,EID29042019,6,948.67,43084.12,0.048512,TRYISVH00011,11904785.0,372907.68,7686964.0
104,371881.03,2019-04-30T10:50:00,5000000.0,2019-04-30,EID,500000000.0,EID30042019,6,1458.29,44028.69,0.048462,TRYISVH00011,11905557.0,372524.02,7686964.0
105,374083.95,2019-05-02T10:50:00,5000000.0,2019-05-02,EID,500000000.0,EID02052019,7,1407.16,44057.38,0.048747,TRYISVH00011,11906329.0,374820.13,7689068.0
106,369764.53,2019-05-03T09:50:00,5000000.0,2019-05-03,EID,500000000.0,EID03052019,7,1462.58,44028.09,0.048188,TRYISVH00011,11907095.0,370521.04,7689068.0
107,373308.67,2019-05-06T09:50:00,5000000.0,2019-05-06,EID,500000000.0,EID06052019,7,1489.0,44085.71,0.048093,TRYISVH00011,11907865.0,369792.36,7689068.0
108,372953.11,2019-05-07T10:50:01,5000000.0,2019-05-07,EID,500000000.0,EID07052019,7,1647.72,43027.57,0.047376,TRYISVH00011,11908632.0,364278.98,7689068.0
109,366125.31,2019-05-08T10:50:00,5000000.0,2019-05-08,EID,500000000.0,EID08052019,7,1482.74,39025.22,0.047007,TRYISVH00011,11909399.0,361342.94,7686964.0
110,361281.15,2019-05-09T10:50:00,5000000.0,2019-05-09,EID,500000000.0,EID09052019,6,1197.41,33021.47,0.047297,TRYISVH00011,11910166.0,363573.65,7686964.0
111,356576.15,2019-05-10T10:50:00,5000000.0,2019-05-10,EID,500000000.0,EID10052019,6,1205.89,33021.97,0.046683,TRYISVH00011,11910933.0,358854.24,7686964.0
112,357879.74,2019-05-13T10:50:01,5000000.0,2019-05-13,EID,500000000.0,EID13052019,6,1312.36,34069.44,0.046712,TRYISVH00011,11911698.0,359072.1,7686964.0
113,347256.63,2019-05-14T10:52:44,5000000.0,2019-05-14,EID,500000000.0,EID14052019,6,1257.14,34022.92,0.045334,TRYISVH00011,11912466.0,348483.6,7686964.0
114,353242.1,2019-05-15T10:50:00,5000000.0,2019-05-15,EID,500000000.0,EID15052019,6,1278.76,34023.01,0.045957,TRYISVH00011,11913235.0,353272.97,7686964.0
115,351202.53,2019-05-16T10:50:00,5000000.0,2019-05-16,EID,500000000.0,EID16052019,6,1300.47,34022.96,0.045691,TRYISVH00011,11914005.0,351221.29,7686964.0
116,351283.86,2019-05-17T10:50:00,5000000.0,2019-05-17,EID,500000000.0,EID17052019,6,1134.83,33022.29,0.04583,TRYISVH00011,11914774.0,352290.35,7686964.0
117,350459.95,2019-05-20T09:50:00,5000000.0,2019-05-20,EID,500000000.0,EID20052019,6,1155.86,33067.4,0.045712,TRYISVH00011,11915541.0,351383.34,7686964.0
118,349339.92,2019-05-21T10:50:00,5000000.0,2019-05-21,EID,500000000.0,EID21052019,6,1221.55,33022.47,0.04557,TRYISVH00011,11916308.0,350295.68,7686964.0
119,345625.94,2019-05-22T10:50:00,5000000.0,2019-05-22,EID,500000000.0,EID22052019,6,1242.76,33022.42,0.045085,TRYISVH00011,11917075.0,346569.52,7686964.0
120,339140.19,2019-05-23T09:50:01,5000000.0,2019-05-23,EID,500000000.0,EID23052019,6,1039.72,33022.29,0.043921,TRYISVH00011,11917844.0,337621.53,7686964.0
121,337398.03,2019-05-24T10:50:00,5000000.0,2019-05-24,EID,500000000.0,EID24052019,6,1060.75,33022.11,0.043693,TRYISVH00011,11918611.0,335868.08,7686964.0
122,339058.4,2019-05-27T11:50:00,5000000.0,2019-05-27,EID,500000000.0,EID27052019,6,1629.68,30060.16,0.044289,TRYISVH00011,11919378.0,340448.45,7686964.0
123,336648.72,2019-05-28T10:50:00,5000000.0,2019-05-28,EID,500000000.0,EID28052019,6,1688.29,30020.1,0.044217,TRYISVH00011,11920145.0,339897.12,7686964.0
124,341667.37,2019-05-29T10:50:00,5000000.0,2019-05-29,EID,500000000.0,EID29052019,6,1707.24,30019.73,0.044778,TRYISVH00011,11920912.0,344203.39,7686964.0
125,351040.84,2019-05-30T08:50:00,5000000.0,2019-05-30,EID,500000000.0,EID30052019,2,1546.87,32020.73,0.044554,TRYISVH00011,11921679.0,342483.34,7686964.0
126,374657.54,2019-05-31T10:50:00,5000000.0,2019-05-31,EID,500000000.0,EID31052019,6,1537.78,31020.26,0.04578,TRYISVH00011,11922446.0,351905.61,7686964.0
127,367516.6,2019-06-03T11:50:00,5000000.0,2019-06-03,EID,500000000.0,EID03062019,6,2475.86,21041.77,0.046613,TRYISVH00011,11923216.0,358313.12,7686964.0
128,366261.85,2019-06-07T09:50:00,5000000.0,2019-06-07,EID,500000000.0,EID07062019,6,3516.55,20053.04,0.046567,TRYISVH00011,11923987.0,357956.99,7686964.0
129,353196.02,2019-06-10T11:50:00,5000000.0,2019-06-10,EID,500000000.0,EID10062019,6,8385.08,0.0,0.047461,TRYISVH00011,11924754.0,364834.76,7686964.0
130,359134.06,2019-06-11T11:50:00,5000000.0,2019-06-11,EID,500000000.0,EID11062019,6,11079.46,0.0,0.048229,TRYISVH00011,11925529.0,370735.73,7686964.0
131,329495.48,2019-06-12T10:50:00,5000000.0,2019-06-12,EID,500000000.0,EID12062019,6,11079.46,0.0,0.047607,TRYISVH00011,11926296.0,365949.64,7686964.0
132,364062.69,2019-06-13T10:50:00,5000000.0,2019-06-13,EID,500000000.0,EID13062019,6,1956.68,34021.33,0.047676,TRYISVH00011,11927062.0,366480.2,7686964.0
133,356845.75,2019-06-14T10:50:00,5000000.0,2019-06-14,EID,500000000.0,EID14062019,6,1976.73,34021.98,0.046735,TRYISVH00011,11927829.0,359248.67,7686964.0
134,358792.61,2019-06-17T10:50:00,5000000.0,2019-06-17,EID,500000000.0,EID17062019,6,1949.42,34066.37,0.046977,TRYISVH00011,11928597.0,361109.19,7686964.0
135,363308.8,2019-06-18T11:50:00,5000000.0,2019-06-18,EID,500000000.0,EID18062019,6,2014.06,34021.94,0.047568,TRYISVH00011,11929365.0,365655.19,7686964.0
136,369669.93,2019-06-19T09:26:25,5000000.0,2019-06-19,EID,500000000.0,EID19062019,6,2034.71,34021.98,0.04832,TRYISVH00011,11930134.0,371431.12,7686964.0
137,369642.93,2019-06-20T09:27:26,5000000.0,2019-06-20,EID,500000000.0,EID20062019,6,2055.4,34021.94,0.048504,TRYISVH00011,11930903.0,372848.82,7686964.0
138,370220.09,2019-06-21T09:29:41,5000000.0,2019-06-21,EID,500000000.0,EID21062019,6,1502.54,34022.08,0.048577,TRYISVH00011,11931679.0,373410.58,7686964.0
139,370274.08,2019-06-24T09:25:53,5000000.0,2019-06-24,EID,500000000.0,EID24062019,6,1983.01,35068.9,0.048442,TRYISVH00011,11932448.0,372374.95,7686964.0
140,372945.67,2019-06-25T09:26:06,5000000.0,2019-06-25,EID,500000000.0,EID25062019,6,2050.12,35023.01,0.048794,TRYISVH00011,11933217.0,375077.93,7686964.0
141,378485.58,2019-06-26T09:27:22,5000000.0,2019-06-26,EID,500000000.0,EID26062019,6,1847.6,35023.11,0.04912,TRYISVH00011,11933986.0,377584.49,7686964.0
142,378036.17,2019-06-27T09:29:53,5000000.0,2019-06-27,EID,500000000.0,EID27062019,6,1869.38,35023.21,0.04906,TRYISVH00011,11934756.0,377120.48,7686964.0
143,376973.36,2019-06-28T09:29:41,5000000.0,2019-06-28,EID,500000000.0,EID28062019,6,1870.96,32020.91,0.04931,TRYISVH00011,11935532.0,379042.98,7686964.0
144,379141.69,2019-07-01T09:25:06,5000000.0,2019-07-01,EID,500000000.0,EID01072019,6,1890.65,32062.73,0.04958,TRYISVH00011,11936298.0,381117.89,7686964.0
145,391533.28,2019-07-02T09:25:06,5000000.0,2019-07-02,EID,500000000.0,EID02072019,6,5358.98,32020.56,0.051593,TRYISVH00011,11937078.0,396590.55,7686964.0
146,395834.31,2019-07-03T09:29:26,5000000.0,2019-07-03,EID,500000000.0,EID03072019,6,5328.46,32020.69,0.05215,TRYISVH00011,11937852.0,400872.06,7686964.0
147,395993.82,2019-07-04T10:50:01,5000000.0,2019-07-04,EID,500000000.0,EID04072019,6,2555.95,37023.47,0.05158,TRYISVH00011,11938623.0,396492.61,7686964.0
148,398038.43,2019-07-05T09:30:20,5000000.0,2019-07-05,EID,500000000.0,EID05072019,6,2578.02,37023.16,0.051844,TRYISVH00011,11939393.0,398520.84,7686964.0
149,400251.69,2019-07-08T09:25:53,5000000.0,2019-07-08,EID,500000000.0,EID08072019,6,2076.88,38072.15,0.051989,TRYISVH00011,11940163.0,399637.38,7686964.0
150,398825.04,2019-07-09T09:26:28,5000000.0,2019-07-09,EID,500000000.0,EID09072019,6,2131.89,38024.1,0.051808,TRYISVH00011,11940933.0,398243.06,7686964.0
151,402907.38,2019-07-10T09:27:35,5000000.0,2019-07-10,EID,500000000.0,EID10072019,6,2154.55,38024.1,0.050961,TRYISVH00011,11941704.0,391733.88,7686964.0
