,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,72042786.48,2018-12-13T10:14:57,5000000.0,2018-12-03,YAK,100000000000.0,YAK03122018,139751,5512.12,5892431.7,0.423565,TRMYAKWWWWW7,9032413.0,68026031.11,160603496.349
1,67904329.04,2018-12-14T10:14:56,5000000.0,2018-12-04,YAK,100000000000.0,YAK04122018,139717,6936.79,1837177.05,0.422998,TRMYAKWWWWW7,9057962.0,67890762.73,160499004.349
2,68645975.08,2018-12-15T10:14:55,5000000.0,2018-12-05,YAK,100000000000.0,YAK05122018,139723,6595.5,2104353.99,0.420803,TRMYAKWWWWW7,9082490.0,67557850.01,160545221.349
3,65524211.73,2018-12-16T10:14:54,5000000.0,2018-12-06,YAK,100000000000.0,YAK06122018,139705,5539.52,4916136.24,0.420359,TRMYAKWWWWW7,9090666.0,67438352.6,160430335.349
4,67303933.65,2018-12-17T10:14:59,5000000.0,2018-12-07,YAK,100000000000.0,YAK07122018,139654,5679.55,3966525.01,0.419053,TRMYAKWWWWW7,9098842.0,67157095.58,160259236.349
5,70158694.24,2018-12-20T10:14:57,5000000.0,2018-12-10,YAK,100000000000.0,YAK10122018,139633,6011.94,6394326.87,0.419935,TRMYAKWWWWW7,9170382.0,67392511.31,160483196.349
6,65585704.97,2018-12-21T10:14:56,5000000.0,2018-12-11,YAK,100000000000.0,YAK11122018,139557,5648.43,3450229.39,0.416604,TRMYAKWWWWW7,9194910.0,66834753.49,160427501.349
7,62191822.64,2018-12-22T10:14:55,5000000.0,2018-12-12,YAK,100000000000.0,YAK12122018,139536,5733.42,3725386.8,0.415525,TRMYAKWWWWW7,9219438.0,66698451.46,160516007.349
8,63818235.06,2018-12-23T10:14:54,5000000.0,2018-12-13,YAK,100000000000.0,YAK13122018,139447,6172.97,4791089.24,0.410286,TRMYAKWWWWW7,9227614.0,65809299.88,160398598.349
9,68663056.15,2018-12-24T10:14:53,5000000.0,2018-12-14,YAK,100000000000.0,YAK14122018,139353,6199.56,0.0,0.412127,TRMYAKWWWWW7,9235791.0,65982868.95,160103285.349
10,68399002.12,2018-12-27T10:14:57,5000000.0,2018-12-17,YAK,100000000000.0,YAK17122018,139253,6113.89,6738002.17,0.409642,TRMYAKWWWWW7,9307330.0,65577042.33,160083798.349
11,66765385.18,2018-12-28T10:14:59,5000000.0,2018-12-18,YAK,100000000000.0,YAK18122018,139147,11629.39,5535546.54,0.407155,TRMYAKWWWWW7,9332777.0,65142202.84,159993616.349
12,65423288.11,2018-12-29T10:14:58,5000000.0,2018-12-19,YAK,100000000000.0,YAK19122018,139134,6222.72,3990567.62,0.40902,TRMYAKWWWWW7,9357305.0,65456236.14,160032007.349
13,65361007.85,2018-12-30T10:14:58,5000000.0,2018-12-20,YAK,100000000000.0,YAK20122018,139094,5762.24,4040610.87,0.413601,TRMYAKWWWWW7,9365480.0,66073878.72,159752834.349
14,66466074.19,2018-12-31T10:15:00,5000000.0,2018-12-21,YAK,100000000000.0,YAK21122018,139012,6152.18,2946892.06,0.412017,TRMYAKWWWWW7,9373656.0,65743304.02,159564649.349
15,67512403.74,2019-01-03T10:14:57,5000000.0,2018-12-24,YAK,100000000000.0,YAK24122018,138922,5659.35,3770206.4,0.414063,TRMYAKWWWWW7,9425778.0,66031460.08,159472171.349
16,65955772.6,2019-01-04T10:14:57,5000000.0,2018-12-25,YAK,100000000000.0,YAK25122018,138844,5912.19,2250435.66,0.413802,TRMYAKWWWWW7,9450306.0,65949582.28,159374558.349
17,66087140.87,2019-01-05T10:14:56,5000000.0,2018-12-26,YAK,100000000000.0,YAK26122018,138796,6188.54,2431551.21,0.411907,TRMYAKWWWWW7,9473812.0,65622986.86,159314995.349
18,66379538.11,2019-01-06T10:14:55,5000000.0,2018-12-27,YAK,100000000000.0,YAK27122018,138655,5752.32,2349595.35,0.414229,TRMYAKWWWWW7,9480966.0,65950478.15,159212770.349
19,67301417.3,2019-01-07T10:15:00,5000000.0,2018-12-28,YAK,100000000000.0,YAK28122018,138562,5689.7,2000292.5,0.415192,TRMYAKWWWWW7,9488121.0,65980990.93,158916926.349
20,66351600.9,2019-01-10T10:14:57,5000000.0,2018-12-31,YAK,100000000000.0,YAK31122018,138493,5975.63,1946760.9,0.414504,TRMYAKWWWWW7,9556595.0,65836185.54,158831430.349
21,65218263.96,2019-01-12T10:14:58,5000000.0,2019-01-02,YAK,100000000000.0,YAK02012019,138426,5638.4,767001.05,0.41472,TRMYAKWWWWW7,9604525.0,65801764.27,158665521.349
22,60704044.42,2019-01-13T10:14:57,5000000.0,2019-01-03,YAK,100000000000.0,YAK03012019,138359,5459.36,1519986.31,0.406485,TRMYAKWWWWW7,9612701.0,64470823.42,158605542.349
23,60136691.69,2019-01-14T10:14:59,5000000.0,2019-01-04,YAK,100000000000.0,YAK04012019,138360,5632.05,1588019.59,0.393801,TRMYAKWWWWW7,9620877.0,62514488.15,158746550.349
24,63571328.44,2019-01-17T10:14:57,5000000.0,2019-01-07,YAK,100000000000.0,YAK07012019,138297,5180.59,5311260.7,0.391932,TRMYAKWWWWW7,9692417.0,62124807.87,158508970.349
25,62320657.67,2019-01-18T10:14:56,5000000.0,2019-01-08,YAK,100000000000.0,YAK08012019,138220,8109.08,4206706.68,0.390991,TRMYAKWWWWW7,9717966.0,62270043.75,159262106.349
26,60452266.87,2019-01-19T10:14:55,5000000.0,2019-01-09,YAK,100000000000.0,YAK09012019,138270,6254.05,4410844.07,0.390779,TRMYAKWWWWW7,9742494.0,62369676.52,159603466.349
27,63246714.89,2019-01-20T10:14:54,5000000.0,2019-01-10,YAK,100000000000.0,YAK10012019,138327,6128.68,6524930.47,0.391021,TRMYAKWWWWW7,9750671.0,62421210.36,159636385.349
28,62756461.03,2019-01-21T10:14:59,5000000.0,2019-01-11,YAK,100000000000.0,YAK11012019,138170,6119.15,6425195.64,0.390931,TRMYAKWWWWW7,9758847.0,62332213.37,159445421.349
29,62224723.29,2019-01-24T10:14:57,5000000.0,2019-01-14,YAK,100000000000.0,YAK14012019,138082,6865.82,5741138.18,0.392005,TRMYAKWWWWW7,9830387.0,62436607.46,159274997.349
30,61845618.46,2019-01-25T10:14:56,5000000.0,2019-01-15,YAK,100000000000.0,YAK15012019,137966,5968.37,7031565.86,0.390171,TRMYAKWWWWW7,9855937.0,62034233.27,158992407.349
31,61171787.37,2019-01-26T10:14:55,5000000.0,2019-01-16,YAK,100000000000.0,YAK16012019,137945,5939.9,6317116.42,0.392996,TRMYAKWWWWW7,9880465.0,62503304.49,159042941.349
32,63272018.35,2019-01-27T10:14:57,5000000.0,2019-01-17,YAK,100000000000.0,YAK17012019,137911,6286.84,7890109.05,0.398168,TRMYAKWWWWW7,9888538.0,63274190.06,158913400.349
33,64113601.37,2019-01-28T10:14:59,5000000.0,2019-01-18,YAK,100000000000.0,YAK18012019,137828,5770.65,7921172.51,0.40099,TRMYAKWWWWW7,9896714.0,63640832.26,158709299.349
34,60796384.1,2019-01-31T10:14:57,5000000.0,2019-01-21,YAK,100000000000.0,YAK21012019,137793,7352.88,7979709.81,0.404681,TRMYAKWWWWW7,9968254.0,64203091.02,158651221.349
35,61994061.51,2019-02-01T10:14:56,5000000.0,2019-01-22,YAK,100000000000.0,YAK22012019,137742,5894.68,7607999.23,0.405246,TRMYAKWWWWW7,9993804.0,64300118.0,158669405.349
36,69266965.9,2019-02-02T10:14:55,5000000.0,2019-01-23,YAK,100000000000.0,YAK23012019,137718,6513.89,11585628.79,0.407699,TRMYAKWWWWW7,10018332.0,64671464.34,158625330.349
37,65679189.44,2019-02-03T10:14:54,5000000.0,2019-01-24,YAK,100000000000.0,YAK24012019,137674,6593.62,7142654.36,0.409679,TRMYAKWWWWW7,10026510.0,64974965.58,158599746.349
38,64949642.3,2019-02-04T10:15:00,5000000.0,2019-01-25,YAK,100000000000.0,YAK25012019,137603,6676.62,6876612.71,0.412803,TRMYAKWWWWW7,10034686.0,65416076.11,158467878.349
39,64413752.52,2019-02-07T10:14:57,5000000.0,2019-01-28,YAK,100000000000.0,YAK28012019,137526,6741.76,6872037.89,0.412858,TRMYAKWWWWW7,10106224.0,65408207.51,158427997.349
40,65695018.19,2019-02-08T10:14:56,5000000.0,2019-01-29,YAK,100000000000.0,YAK29012019,137465,5941.22,8058151.71,0.413447,TRMYAKWWWWW7,10131774.0,65492256.07,158405590.349
41,69662808.25,2019-02-09T10:14:55,5000000.0,2019-01-30,YAK,100000000000.0,YAK30012019,137454,5901.47,8115199.29,0.41575,TRMYAKWWWWW7,10156304.0,65894155.01,158494828.349
42,70992327.85,2019-02-10T10:14:54,5000000.0,2019-01-31,YAK,100000000000.0,YAK31012019,137423,8298.38,8038138.91,0.418296,TRMYAKWWWWW7,10164478.0,66251882.25,158385337.349
43,67459864.22,2019-02-11T10:14:53,5000000.0,2019-02-01,YAK,100000000000.0,YAK01022019,137338,7299.96,3886484.7,0.41875,TRMYAKWWWWW7,10172654.0,66248180.12,158204501.349
44,66671176.04,2019-02-14T10:14:58,5000000.0,2019-02-04,YAK,100000000000.0,YAK04022019,137328,6773.91,3161067.97,0.417001,TRMYAKWWWWW7,10244193.0,65937269.63,158122466.349
45,66104543.12,2019-02-15T10:14:57,5000000.0,2019-02-05,YAK,100000000000.0,YAK05022019,137293,6240.1,3102983.79,0.417115,TRMYAKWWWWW7,10269743.0,65904896.65,158001820.349
46,65813156.4,2019-02-16T10:14:56,5000000.0,2019-02-06,YAK,100000000000.0,YAK06022019,137292,6117.56,2477580.57,0.415965,TRMYAKWWWWW7,10294271.0,65725522.91,158007380.349
47,67139586.6,2019-02-17T10:15:00,5000000.0,2019-02-07,YAK,100000000000.0,YAK07022019,137303,5931.51,3153999.15,0.416843,TRMYAKWWWWW7,10302344.0,65925636.08,158154467.349
48,67016107.43,2019-02-18T10:14:58,5000000.0,2019-02-08,YAK,100000000000.0,YAK08022019,137288,6768.56,2594655.26,0.417796,TRMYAKWWWWW7,10310519.0,65998336.41,157967669.349
49,65357753.78,2019-02-21T10:14:57,5000000.0,2019-02-11,YAK,100000000000.0,YAK11022019,137228,5947.72,2624985.18,0.417616,TRMYAKWWWWW7,10382060.0,65989433.88,158014571.349
50,66075801.04,2019-02-22T10:14:56,5000000.0,2019-02-12,YAK,100000000000.0,YAK12022019,137215,6362.75,2713720.08,0.421627,TRMYAKWWWWW7,10407609.0,66609617.21,157982336.349
51,63402609.97,2019-02-23T10:14:55,5000000.0,2019-02-13,YAK,100000000000.0,YAK13022019,137251,6209.39,3357123.3,0.420176,TRMYAKWWWWW7,10432136.0,66392780.17,158011919.349
52,64137206.31,2019-02-24T10:14:54,5000000.0,2019-02-14,YAK,100000000000.0,YAK14022019,137203,6250.41,3333098.99,0.417868,TRMYAKWWWWW7,10440312.0,65970544.38,157874204.349
53,68098366.98,2019-02-25T10:14:59,5000000.0,2019-02-15,YAK,100000000000.0,YAK15022019,137186,6430.27,6436061.85,0.419513,TRMYAKWWWWW7,10448488.0,66279202.47,157990808.349
54,66712693.22,2019-02-28T10:14:57,5000000.0,2019-02-18,YAK,100000000000.0,YAK18022019,137183,5971.5,5459390.42,0.421646,TRMYAKWWWWW7,10520028.0,66656796.39,158087026.349
55,65576996.8,2019-03-01T10:14:55,5000000.0,2019-02-19,YAK,100000000000.0,YAK19022019,137194,6565.58,4868058.95,0.422233,TRMYAKWWWWW7,10545578.0,66707010.99,157986303.349
56,66113833.24,2019-03-02T10:14:55,5000000.0,2019-02-20,YAK,100000000000.0,YAK20022019,137205,5725.65,5510492.8,0.421189,TRMYAKWWWWW7,10570108.0,66475336.69,157827823.349
57,67393147.46,2019-03-03T10:14:53,5000000.0,2019-02-21,YAK,100000000000.0,YAK21022019,137197,6379.35,6191916.24,0.42335,TRMYAKWWWWW7,10578284.0,66848586.25,157903760.349
58,68425229.86,2019-03-04T10:14:52,5000000.0,2019-02-22,YAK,100000000000.0,YAK22022019,137137,5934.28,6019801.66,0.425659,TRMYAKWWWWW7,10586444.0,67115625.99,157674552.349
59,68553795.67,2019-03-07T10:14:48,5000000.0,2019-02-25,YAK,100000000000.0,YAK25022019,137058,5620.76,5692717.96,0.428743,TRMYAKWWWWW7,10657984.0,67561801.69,157581153.349
60,65413581.11,2019-03-08T10:15:00,5000000.0,2019-02-26,YAK,100000000000.0,YAK26022019,137008,6686.86,4838013.6,0.431169,TRMYAKWWWWW7,10659006.0,67938089.7,157567107.349
61,65847355.22,2019-03-08T14:39:42,5000000.0,2019-02-27,YAK,100000000000.0,YAK27022019,136993,6717.16,4959095.8,0.43314,TRMYAKWWWWW7,10660028.0,68216860.93,157493785.349
62,69067122.75,2019-03-08T14:40:51,5000000.0,2019-02-28,YAK,100000000000.0,YAK28022019,137005,9491.29,7879947.66,0.43126,TRMYAKWWWWW7,10661050.0,68211999.84,158169010.349
63,69284050.37,2019-03-08T14:41:57,5000000.0,2019-03-01,YAK,100000000000.0,YAK01032019,136959,5550.58,7802924.49,0.431436,TRMYAKWWWWW7,10662072.0,68026001.96,157673566.349
64,68384401.24,2019-03-08T14:43:06,5000000.0,2019-03-04,YAK,100000000000.0,YAK04032019,136979,7595.72,7204741.71,0.428723,TRMYAKWWWWW7,10663094.0,67729358.01,157979252.349
65,68253450.66,2019-03-08T14:44:12,5000000.0,2019-03-05,YAK,100000000000.0,YAK05032019,136983,6493.76,7660792.87,0.431952,TRMYAKWWWWW7,10664117.0,68966252.7,159661762.349
66,67979601.84,2019-03-08T14:45:23,5000000.0,2019-03-06,YAK,100000000000.0,YAK06032019,136996,6508.57,7357593.11,0.434521,TRMYAKWWWWW7,10665139.0,69351176.21,159603727.349
67,68656961.65,2019-03-07T13:50:07,5000000.0,2019-03-07,YAK,100000000000.0,YAK07032019,137014,5774.31,8437252.57,0.433616,TRMYAKWWWWW7,10667183.0,68425145.38,157801222.349
68,68248513.11,2019-03-08T10:50:00,5000000.0,2019-03-08,YAK,100000000000.0,YAK08032019,136977,6048.79,7998884.01,0.429329,TRMYAKWWWWW7,10668205.0,67713304.51,157719071.349
69,69636028.18,2019-03-11T10:50:00,5000000.0,2019-03-11,YAK,100000000000.0,YAK11032019,136966,6220.77,8281448.05,0.428881,TRMYAKWWWWW7,10669049.0,67635183.31,157701585.349
70,67901808.85,2019-03-12T10:22:47,5000000.0,2019-03-12,YAK,100000000000.0,YAK12032019,137001,6119.64,7592698.32,0.428169,TRMYAKWWWWW7,10670696.0,67541646.02,157745319.349
71,67708070.51,2019-03-13T10:50:00,5000000.0,2019-03-13,YAK,100000000000.0,YAK13032019,136896,6162.64,6324896.51,0.431874,TRMYAKWWWWW7,10673221.0,68023383.22,157507348.349
72,68657724.73,2019-03-14T10:50:00,5000000.0,2019-03-14,YAK,100000000000.0,YAK14032019,137027,6185.7,382235.48,0.431159,TRMYAKWWWWW7,10675925.0,67972098.8,157649559.349
73,68131114.43,2019-03-15T10:50:00,5000000.0,2019-03-15,YAK,100000000000.0,YAK15032019,136941,5960.83,6784207.32,0.434363,TRMYAKWWWWW7,10678662.0,68422528.66,157523789.349
74,68606140.03,2019-03-18T10:30:32,5000000.0,2019-03-18,YAK,100000000000.0,YAK18032019,136909,5669.97,6764819.55,0.435592,TRMYAKWWWWW7,10680976.0,68567000.8,157410931.349
75,70311415.64,2019-03-19T10:50:00,5000000.0,2019-03-19,YAK,100000000000.0,YAK19032019,136922,6427.03,202126.18,0.437259,TRMYAKWWWWW7,10683651.0,68883029.51,157533634.349
76,70562441.27,2019-03-20T10:24:48,5000000.0,2019-03-20,YAK,100000000000.0,YAK20032019,136968,6114.39,826518.23,0.437043,TRMYAKWWWWW7,10686272.0,68965739.41,157800843.349
77,70574341.93,2019-03-21T10:50:00,5000000.0,2019-03-21,YAK,100000000000.0,YAK20032019,136955,6978.95,2039281.43,0.43434,TRMYAKWWWWW7,10689823.0,68511405.43,157736629.349
78,66344618.29,2019-03-22T09:50:00,5000000.0,2019-03-22,YAK,100000000000.0,YAK21032019,136892,7157.62,2330448.45,0.433826,TRMYAKWWWWW7,10691763.0,68345529.09,157541458.349
79,60711916.87,2019-03-25T09:50:00,5000000.0,2019-03-25,YAK,100000000000.0,YAK24032019,136849,6123.3,1012886.28,0.428379,TRMYAKWWWWW7,10695049.0,67477364.18,157517968.349
80,67880363.27,2019-03-26T09:50:00,5000000.0,2019-03-26,YAK,100000000000.0,YAK25032019,136799,6323.47,5270557.03,0.428425,TRMYAKWWWWW7,11877285.0,67413591.05,157352165.349
81,67502364.88,2019-03-27T09:50:00,5000000.0,2019-03-27,YAK,100000000000.0,YAK26032019,136760,6060.65,6683391.67,0.423124,TRMYAKWWWWW7,11879961.0,67069211.4,158509571.349
82,67585344.48,2019-03-28T09:50:00,5000000.0,2019-03-28,YAK,100000000000.0,YAK27032019,136715,8847.56,5498752.89,0.413634,TRMYAKWWWWW7,11882556.0,65547062.99,158466235.349
83,70073899.5,2019-03-29T10:50:01,5000000.0,2019-03-29,YAK,100000000000.0,YAK28032019,136656,5805.98,5357777.14,0.417092,TRMYAKWWWWW7,11885318.0,65302744.85,156566792.349
84,66964179.26,2019-04-01T09:50:00,5000000.0,2019-04-01,YAK,100000000000.0,YAK01042019,136639,6011.51,3871223.43,0.421339,TRMYAKWWWWW7,11889387.0,65969843.13,156571781.349
85,65901422.86,2019-04-02T09:50:00,5000000.0,2019-04-02,YAK,100000000000.0,YAK02042019,136604,6200.22,3790584.14,0.421486,TRMYAKWWWWW7,11891120.0,65985313.53,156553946.349
86,66170268.92,2019-04-03T09:50:00,5000000.0,2019-04-03,YAK,100000000000.0,YAK03042019,136608,6349.01,3094130.52,0.420127,TRMYAKWWWWW7,11891890.0,65757239.74,156517549.349
87,65627564.3,2019-04-04T09:50:00,5000000.0,2019-04-04,YAK,100000000000.0,YAK04042019,136599,5628.37,3905678.63,0.421694,TRMYAKWWWWW7,11892664.0,66045809.19,156620040.349
88,67514981.71,2019-04-05T10:50:00,5000000.0,2019-04-05,YAK,100000000000.0,YAK05042019,136522,6043.66,303207.95,0.427027,TRMYAKWWWWW7,11893438.0,67659368.53,158442720.349
89,64336777.44,2019-04-08T10:50:00,5000000.0,2019-04-08,YAK,100000000000.0,YAK08042019,136502,5769.73,3175495.81,0.427359,TRMYAKWWWWW7,11894219.0,67671210.16,158347382.349
90,65417696.21,2019-04-09T09:50:00,5000000.0,2019-04-09,YAK,100000000000.0,YAK09042019,136504,6203.58,4071759.12,0.424652,TRMYAKWWWWW7,11894978.0,66454875.84,156492530.349
91,66490693.69,2019-04-10T09:50:00,5000000.0,2019-04-10,YAK,100000000000.0,YAK10042019,136534,5682.17,4363873.48,0.426678,TRMYAKWWWWW7,11895739.0,66313032.98,155417109.349
92,68843458.6,2019-04-11T09:50:00,5000000.0,2019-04-11,YAK,100000000000.0,YAK11042019,136532,6615.51,3851509.76,0.424738,TRMYAKWWWWW7,11896519.0,66086232.19,155592779.349
93,66218483.98,2019-04-12T10:50:00,5000000.0,2019-04-12,YAK,100000000000.0,YAK12042019,136511,6137.03,4309796.6,0.424199,TRMYAKWWWWW7,11897283.0,66000222.62,155588046.349
94,66224450.72,2019-04-15T10:50:01,5000000.0,2019-04-15,YAK,100000000000.0,YAK15042019,136476,5951.1,4205123.78,0.424863,TRMYAKWWWWW7,11898047.0,66071388.05,155512060.349
95,66118716.04,2019-04-16T10:50:01,5000000.0,2019-04-16,YAK,100000000000.0,YAK16042019,136458,5785.02,4217546.32,0.424745,TRMYAKWWWWW7,11898817.0,66018929.68,155432040.349
96,66268985.02,2019-04-17T09:50:00,5000000.0,2019-04-17,YAK,100000000000.0,YAK17042019,136469,5282.47,7358557.72,0.427391,TRMYAKWWWWW7,11899582.0,66562572.95,155741761.349
97,66556408.42,2019-04-18T10:50:00,5000000.0,2019-04-18,YAK,100000000000.0,YAK18042019,136451,6389.23,7462679.13,0.428555,TRMYAKWWWWW7,11900346.0,66761903.45,155783594.349
98,66996250.49,2019-04-19T09:50:00,5000000.0,2019-04-19,YAK,100000000000.0,YAK19042019,136382,5749.54,7802917.25,0.429184,TRMYAKWWWWW7,11901111.0,66812078.6,155672401.349
99,67262566.39,2019-04-22T10:50:03,5000000.0,2019-04-22,YAK,100000000000.0,YAK22042019,136341,5982.5,7844084.2,0.430601,TRMYAKWWWWW7,11901869.0,67015040.2,155631557.349
100,67283716.37,2019-04-24T10:50:01,5000000.0,2019-04-24,YAK,100000000000.0,YAK24042019,136289,5655.67,7760020.44,0.431414,TRMYAKWWWWW7,11902633.0,67116762.29,155573942.349
101,67490845.36,2019-04-25T10:50:00,5000000.0,2019-04-25,YAK,100000000000.0,YAK25042019,136290,5606.3,7809077.95,0.432418,TRMYAKWWWWW7,11903402.0,67281678.54,155593941.349
102,67566108.05,2019-04-26T09:50:01,5000000.0,2019-04-26,YAK,100000000000.0,YAK26042019,136264,5497.12,7851115.95,0.429256,TRMYAKWWWWW7,11904166.0,66785143.42,155583485.349
103,66944619.73,2019-04-29T10:50:00,5000000.0,2019-04-29,YAK,100000000000.0,YAK29042019,136223,6141.16,7828128.38,0.430536,TRMYAKWWWWW7,11904931.0,66925854.18,155447581.349
104,66919062.97,2019-04-30T10:50:00,5000000.0,2019-04-30,YAK,100000000000.0,YAK30042019,136173,6188.98,7248675.68,0.428398,TRMYAKWWWWW7,11905705.0,66624345.54,155519787.349
105,67686276.35,2019-05-02T09:50:01,5000000.0,2019-05-02,YAK,100000000000.0,YAK02052019,136156,5731.84,8103483.13,0.428149,TRMYAKWWWWW7,11906468.0,66624018.98,155609332.349
106,67408066.0,2019-05-03T09:50:00,5000000.0,2019-05-03,YAK,100000000000.0,YAK03052019,136141,5814.14,8038230.03,0.425913,TRMYAKWWWWW7,11907665.0,67047902.12,157421477.349
107,67385169.88,2019-05-06T09:50:00,5000000.0,2019-05-06,YAK,100000000000.0,YAK06052019,136078,5322.63,8109633.62,0.426927,TRMYAKWWWWW7,11908012.0,67200611.61,157405514.349
108,66883206.7,2019-05-07T10:50:01,5000000.0,2019-05-07,YAK,100000000000.0,YAK07052019,136037,6048.1,7840044.45,0.425434,TRMYAKWWWWW7,11908766.0,66968164.26,157411266.349
109,67518153.55,2019-05-08T10:50:00,5000000.0,2019-05-08,YAK,100000000000.0,YAK08052019,136050,6011.51,8061186.74,0.424526,TRMYAKWWWWW7,11909534.0,66849821.76,157469305.349
110,69359843.25,2019-05-09T10:50:00,5000000.0,2019-05-09,YAK,100000000000.0,YAK09052019,136043,6276.24,4548970.21,0.424288,TRMYAKWWWWW7,11910314.0,66736288.16,157290081.349
111,67825362.07,2019-05-10T10:50:00,5000000.0,2019-05-10,YAK,100000000000.0,YAK10052019,136003,6352.31,2834847.27,0.421849,TRMYAKWWWWW7,11911068.0,66336548.7,157252044.349
112,66150364.55,2019-05-13T10:50:01,5000000.0,2019-05-13,YAK,100000000000.0,YAK13052019,135962,5530.07,5620414.35,0.421805,TRMYAKWWWWW7,11911833.0,66458603.5,157557828.349
113,65837470.64,2019-05-14T10:52:44,5000000.0,2019-05-14,YAK,100000000000.0,YAK14052019,135889,5658.56,6547444.37,0.417188,TRMYAKWWWWW7,11912602.0,65686769.17,157451105.349
114,66528197.04,2019-05-15T10:50:00,5000000.0,2019-05-15,YAK,100000000000.0,YAK15052019,135845,5374.53,6576438.35,0.420604,TRMYAKWWWWW7,11913369.0,66156126.85,157288402.349
115,69949651.67,2019-05-16T10:50:00,5000000.0,2019-05-16,YAK,100000000000.0,YAK16052019,135801,5659.4,267180.68,0.418916,TRMYAKWWWWW7,11914144.0,65860913.03,157217320.349
116,67449205.85,2019-05-17T10:50:00,5000000.0,2019-05-17,YAK,100000000000.0,YAK17052019,135778,6265.5,6839643.11,0.419366,TRMYAKWWWWW7,11914910.0,65920841.91,157191542.349
117,68869601.39,2019-05-20T09:50:00,5000000.0,2019-05-20,YAK,100000000000.0,YAK20052019,135762,5637.98,7832933.83,0.42027,TRMYAKWWWWW7,11915678.0,66079320.15,157230494.349
118,65834190.39,2019-05-21T10:50:00,5000000.0,2019-05-21,YAK,100000000000.0,YAK21052019,135699,5968.85,5471722.73,0.41927,TRMYAKWWWWW7,11916456.0,65852520.62,157064604.349
119,64816993.3,2019-05-22T10:50:00,5000000.0,2019-05-22,YAK,100000000000.0,YAK22052019,135685,5451.27,6199197.41,0.416179,TRMYAKWWWWW7,11917687.0,65355708.26,157037680.349
120,63188541.13,2019-05-23T09:50:01,5000000.0,2019-05-23,YAK,100000000000.0,YAK23052019,135632,6046.05,6649481.64,0.411336,TRMYAKWWWWW7,11917980.0,64580414.14,157001514.349
121,62514133.59,2019-05-24T10:50:00,5000000.0,2019-05-24,YAK,100000000000.0,YAK24052019,135570,6324.38,5640791.46,0.413414,TRMYAKWWWWW7,11918747.0,64865633.29,156902173.349
122,66664626.88,2019-05-27T11:50:00,5000000.0,2019-05-27,YAK,100000000000.0,YAK27052019,135508,6206.48,8199511.72,0.416219,TRMYAKWWWWW7,11919514.0,65170567.48,156577421.349
123,64925231.37,2019-05-28T10:50:00,5000000.0,2019-05-28,YAK,100000000000.0,YAK28052019,135447,5719.05,8036379.67,0.414793,TRMYAKWWWWW7,11920281.0,64914577.58,156498560.349
124,64213928.22,2019-05-29T10:50:00,5000000.0,2019-05-29,YAK,100000000000.0,YAK29052019,135419,5820.31,6911598.35,0.417441,TRMYAKWWWWW7,11921061.0,65358311.24,156568910.349
125,65654778.31,2019-05-30T08:50:00,5000000.0,2019-05-30,YAK,100000000000.0,YAK30052019,134425,5597.19,8322387.32,0.417625,TRMYAKWWWWW7,11921816.0,65416917.88,156640426.349
126,67772397.58,2019-05-31T10:50:00,5000000.0,2019-05-31,YAK,100000000000.0,YAK31052019,135335,6138.06,8264396.63,0.423028,TRMYAKWWWWW7,11922582.0,66207350.27,156508261.349
127,68586309.97,2019-06-03T11:50:00,5000000.0,2019-06-03,YAK,100000000000.0,YAK03062019,135297,5703.23,8272439.46,0.424317,TRMYAKWWWWW7,11923369.0,66323053.34,156305577.349
128,68496979.52,2019-06-07T09:50:00,5000000.0,2019-06-07,YAK,100000000000.0,YAK07062019,135278,5776.84,8246144.93,0.423889,TRMYAKWWWWW7,11924137.0,66244997.69,156279145.349
